"groep_100","groep_titel","soort_id","euring_code","soort_naam","msi_variant"
700,"Bosrandvogels",187,12500,"Bosrietzanger","robuust"
700,"Bosrandvogels",192,12740,"Braamsluiper","robuust"
700,"Bosrandvogels",223,15490,"Ekster","robuust"
700,"Bosrandvogels",200,13120,"Fitis","robuust"
700,"Bosrandvogels",170,11220,"Gekraagde Roodstaart","robuust"
700,"Bosrandvogels",193,12750,"Grasmus","robuust"
700,"Bosrandvogels",219,15150,"Grauwe Klauwier","robuust"
700,"Bosrandvogels",142,8560,"Groene Specht","robuust"
700,"Bosrandvogels",236,16490,"Groenling","robuust"
700,"Bosrandvogels",165,10840,"Heggenmus","robuust"
700,"Bosrandvogels",239,16600,"Kneu","robuust"
700,"Bosrandvogels",167,11040,"Nachtegaal","robuust"
700,"Bosrandvogels",237,16530,"Putter","robuust"
700,"Bosrandvogels",172,11390,"Roodborsttapuit","robuust"
700,"Bosrandvogels",190,12590,"Spotvogel","robuust"
700,"Bosrandvogels",194,12760,"Tuinfluiter","robuust"
700,"Bosrandvogels",226,15671,"Zwarte Kraai","robuust"
800,"Bosvogels",215,14790,"Boomklever","robuust"
800,"Bosvogels",217,14870,"Boomkruiper","robuust"
800,"Bosvogels",66,3100,"Boomvalk","robuust"
800,"Bosvogels",131,7610,"Bosuil","robuust"
800,"Bosvogels",222,15390,"Gaai","robuust"
800,"Bosvogels",170,11220,"Gekraagde Roodstaart","robuust"
800,"Bosvogels",208,14400,"Glanskop","robuust"
800,"Bosvogels",203,13350,"Grauwe Vliegenvanger","robuust"
800,"Bosvogels",142,8560,"Groene Specht","robuust"
800,"Bosvogels",144,8760,"Grote Bonte Specht","robuust"
800,"Bosvogels",179,12020,"Grote Lijster","robuust"
800,"Bosvogels",122,6680,"Holenduif","robuust"
800,"Bosvogels",123,6700,"Houtduif","robuust"
800,"Bosvogels",94,5290,"Houtsnip","robuust"
800,"Bosvogels",224,15600,"Kauw","robuust"
800,"Bosvogels",146,8870,"Kleine Bonte Specht","robuust"
800,"Bosvogels",214,14640,"Koolmees","robuust"
800,"Bosvogels",210,14540,"Kuifmees","robuust"
800,"Bosvogels",213,14620,"Pimpelmees","robuust"
800,"Bosvogels",132,7670,"Ransuil","robuust"
800,"Bosvogels",232,15980,"Ringmus","robuust"
800,"Bosvogels",229,15820,"Spreeuw","robuust"
800,"Bosvogels",198,13110,"Tjiftjaf","robuust"
800,"Bosvogels",64,3040,"Torenvalk","robuust"
800,"Bosvogels",233,16360,"Vink","robuust"
800,"Bosvogels",218,15080,"Wielewaal","robuust"
800,"Bosvogels",212,14610,"Zwarte Mees","robuust"
900,"Vogels van bebouwing/overige",152,9920,"Boerenzwaluw","robuust"
900,"Vogels van bebouwing/overige",205,13490,"Bonte Vliegenvanger","robuust"
900,"Vogels van bebouwing/overige",122,6680,"Holenduif","robuust"
900,"Vogels van bebouwing/overige",231,15910,"Huismus","robuust"
900,"Vogels van bebouwing/overige",224,15600,"Kauw","robuust"
900,"Vogels van bebouwing/overige",127,7240,"Koekoek","robuust"
900,"Vogels van bebouwing/overige",232,15980,"Ringmus","robuust"
900,"Vogels van bebouwing/overige",229,15820,"Spreeuw","robuust"
900,"Vogels van bebouwing/overige",124,6840,"Turkse Tortel","robuust"
900,"Vogels van bebouwing/overige",162,10201,"Witte Kwikstaart","robuust"
900,"Vogels van bebouwing/overige",169,11210,"Zwarte Roodstaart","robuust"
