"groep_100","jaar","groep_titel","log_index","n_soorten","msi","msi_variant","periode","post_break","log_msi","gam_fit_log","gam_fit_se","gam_fit_msi","gam_fit_lower","gam_fit_upper"
200,1963,"Rietvogels",4.58620060047187,5,98.1209204760428,"robuust","1958-1983","pre",4.58620060047187,5.16609472350529,0.0709519011571678,175.229181114443,152.479322583389,201.373310123711
200,1964,"Rietvogels",4.9666293947149,6,143.542246808004,"robuust","1958-1983","pre",4.9666293947149,5.23007391503991,0.0663905250073175,186.806610827973,164.01345809719,212.767356129731
200,1965,"Rietvogels",5.40912817261303,6,223.436704502405,"robuust","1958-1983","pre",5.40912817261303,5.29405309724585,0.0622152172753228,199.148961956869,176.286633790202,224.976268454352
200,1966,"Rietvogels",5.90098184612587,6,365.39605449859,"robuust","1958-1983","pre",5.90098184612587,5.35803226894491,0.0585086628291024,212.306772528061,189.304208485743,238.104403604299
200,1967,"Rietvogels",5.83656111443223,6,342.599153279607,"robuust","1958-1983","pre",5.83656111443223,5.42201142942445,0.0553650637847038,226.333919658257,203.058863381604,252.276814391503
200,1968,"Rietvogels",5.30985001472046,6,202.319881108458,"robuust","1958-1983","pre",5.30985001472046,5.48599057849004,0.0528848868809541,241.287840200184,217.529875605888,267.640578869037
200,1969,"Rietvogels",5.2580395238968,6,192.104505589728,"robuust","1958-1983","pre",5.2580395238968,5.54996971647907,0.0511646878863344,257.22976596482,232.685307300365,284.363259829309
200,1970,"Rietvogels",5.73337298685844,6,309.009798533209,"robuust","1958-1983","pre",5.73337298685844,5.61394884423785,0.0502825197312055,274.224974480746,248.488136900132,302.627471746019
200,1971,"Rietvogels",5.79903978501532,6,329.982553544277,"robuust","1958-1983","pre",5.79903978501532,5.67792796306632,0.0502825092958819,292.343056315252,264.905787748986,322.622103888213
200,1972,"Rietvogels",5.93773688416241,6,379.076065003385,"robuust","1958-1983","pre",5.93773688416241,5.74190707463615,0.0511646605844398,311.658200049855,281.920281114647,344.532976748898
200,1973,"Rietvogels",5.92836282036597,6,375.539185154684,"robuust","1958-1983","pre",5.92836282036597,5.80588618088907,0.0528848529103498,332.249496075383,299.535178828834,368.536771119719
200,1974,"Rietvogels",5.82397487159544,6,338.314139817598,"robuust","1958-1983","pre",5.82397487159544,5.8698652839232,0.0553650350903864,354.201260449319,317.776979733393,394.800570542091
200,1975,"Rietvogels",6.19352743961164,6,489.569992558873,"robuust","1958-1983","pre",6.19352743961164,5.93384438587525,0.0585086482688013,377.603380140764,336.691619338734,423.486373001405
200,1976,"Rietvogels",6.10926612710117,6,450.008345028939,"robuust","1958-1983","pre",6.10926612710117,5.99782348880637,0.0622152194493099,402.551681076617,356.338691318774,454.757958889862
200,1977,"Rietvogels",5.66467545840988,6,288.494337510778,"robuust","1958-1983","pre",5.66467545840988,6.06180259459865,0.0663905397373442,429.148320496617,376.785905687044,488.787606450533
