"group_code","groep_titel","soort_id","euring_code","soort_naam","classification","binary_membership","membership_weight","analysis_mode","msi_variant"
"fg_v1_grondbroed","Grondbroeders",198,13110,"Tjiftjaf","primary",1,1,"binair","volledig"
"fg_v1_grondbroed","Grondbroeders",98,5460,"Tureluur","primary",1,1,"binair","volledig"
"fg_v1_grondbroed","Grondbroeders",150,9760,"Veldleeuwerik","primary",1,1,"binair","volledig"
"fg_v1_grondbroed","Grondbroeders",116,6150,"Visdief","primary",1,1,"binair","volledig"
"fg_v1_grondbroed","Grondbroeders",77,4240,"Waterhoen","primary",1,1,"binair","volledig"
"fg_v1_grondbroed","Grondbroeders",93,5190,"Watersnip","primary",1,1,"binair","volledig"
"fg_v1_grondbroed","Grondbroeders",36,1860,"Wilde Eend","primary",1,1,"binair","volledig"
"fg_v1_grondbroed","Grondbroeders",35,1840,"Wintertaling","primary",1,1,"binair","volledig"
"fg_v1_grondbroed","Grondbroeders",97,5410,"Wulp","primary",1,1,"binair","volledig"
"fg_v1_grondbroed","Grondbroeders",108,5920,"Zilvermeeuw","primary",1,1,"binair","volledig"
"fg_v1_grondbroed","Grondbroeders",39,1910,"Zomertaling","primary",1,1,"binair","volledig"
"fg_v1_grondbroed","Grondbroeders",212,14610,"Zwarte Mees","primary",1,1,"binair","volledig"
"fg_v1_holenbroed","Holenbroeders",29,1730,"Bergeend","primary",1,1,"binair","volledig"
"fg_v1_holenbroed","Holenbroeders",205,13490,"Bonte Vliegenvanger","primary",1,1,"binair","volledig"
"fg_v1_holenbroed","Holenbroeders",215,14790,"Boomklever","primary",1,1,"binair","volledig"
"fg_v1_holenbroed","Holenbroeders",217,14870,"Boomkruiper","primary",1,1,"binair","volledig"
"fg_v1_holenbroed","Holenbroeders",131,7610,"Bosuil","primary",1,1,"binair","volledig"
"fg_v1_holenbroed","Holenbroeders",141,8480,"Draaihals","primary",1,1,"binair","volledig"
"fg_v1_holenbroed","Holenbroeders",170,11220,"Gekraagde Roodstaart","primary",1,1,"binair","volledig"
"fg_v1_holenbroed","Holenbroeders",136,7950,"Gierzwaluw","primary",1,1,"binair","volledig"
"fg_v1_holenbroed","Holenbroeders",208,14400,"Glanskop","primary",1,1,"binair","volledig"
"fg_v1_holenbroed","Holenbroeders",203,13350,"Grauwe Vliegenvanger","primary",1,1,"binair","volledig"
"fg_v1_holenbroed","Holenbroeders",142,8560,"Groene Specht","primary",1,1,"binair","volledig"
"fg_v1_holenbroed","Holenbroeders",144,8760,"Grote Bonte Specht","primary",1,1,"binair","volledig"
"fg_v1_holenbroed","Holenbroeders",126,7120,"Halsbandparkiet","primary",1,1,"binair","volledig"
"fg_v1_holenbroed","Holenbroeders",122,6680,"Holenduif","primary",1,1,"binair","volledig"
"fg_v1_holenbroed","Holenbroeders",231,15910,"Huismus","primary",1,1,"binair","volledig"
"fg_v1_holenbroed","Holenbroeders",137,8310,"IJsvogel","primary",1,1,"binair","volledig"
"fg_v1_holenbroed","Holenbroeders",224,15600,"Kauw","primary",1,1,"binair","volledig"
"fg_v1_holenbroed","Holenbroeders",128,7350,"Kerkuil","primary",1,1,"binair","volledig"
"fg_v1_holenbroed","Holenbroeders",146,8870,"Kleine Bonte Specht","primary",1,1,"binair","volledig"
"fg_v1_holenbroed","Holenbroeders",214,14640,"Koolmees","primary",1,1,"binair","volledig"
"fg_v1_holenbroed","Holenbroeders",210,14540,"Kuifmees","primary",1,1,"binair","volledig"
"fg_v1_holenbroed","Holenbroeders",209,14420,"Matkop","primary",1,1,"binair","volledig"
"fg_v1_holenbroed","Holenbroeders",27,1700,"Nijlgans","primary",1,1,"binair","volledig"
"fg_v1_holenbroed","Holenbroeders",151,9810,"Oeverzwaluw","primary",1,1,"binair","volledig"
"fg_v1_holenbroed","Holenbroeders",213,14620,"Pimpelmees","primary",1,1,"binair","volledig"
"fg_v1_holenbroed","Holenbroeders",232,15980,"Ringmus","primary",1,1,"binair","volledig"
"fg_v1_holenbroed","Holenbroeders",229,15820,"Spreeuw","primary",1,1,"binair","volledig"
"fg_v1_holenbroed","Holenbroeders",173,11460,"Tapuit","primary",1,1,"binair","volledig"
"fg_v1_holenbroed","Holenbroeders",64,3040,"Torenvalk","primary",1,1,"binair","volledig"
"fg_v1_holenbroed","Holenbroeders",36,1860,"Wilde Eend","primary",1,1,"binair","volledig"
"fg_v1_holenbroed","Holenbroeders",162,10201,"Witte Kwikstaart","primary",1,1,"binair","volledig"
"fg_v1_holenbroed","Holenbroeders",212,14610,"Zwarte Mees","primary",1,1,"binair","volledig"
"fg_v1_holenbroed","Holenbroeders",169,11210,"Zwarte Roodstaart","primary",1,1,"binair","volledig"
