"group_code","groep_titel","analysis_mode","msi_variant","weggelaten_soort_id","weggelaten_soort","baseline_trend_pct_per_jaar","loso_trend_pct_per_jaar","verschil_procentpunt","richtingsomslag"
"fg_v1_holenbroed","Holenbroeders","binair","volledig",143,"Zwarte Specht",-2.84040601469201,-2.37372064322012,0.466685371471887,FALSE
"fg_v1_holenbroed","Holenbroeders","binair","volledig",144,"Grote Bonte Specht",-2.84040601469201,-3.09614702528865,-0.255741010596644,FALSE
"fg_v1_holenbroed","Holenbroeders","binair","volledig",146,"Kleine Bonte Specht",-2.84040601469201,-3.08550882646554,-0.245102811773534,FALSE
"fg_v1_holenbroed","Holenbroeders","binair","volledig",151,"Oeverzwaluw",-2.84040601469201,-2.91126908177767,-0.070863067085658,FALSE
"fg_v1_holenbroed","Holenbroeders","binair","volledig",162,"Witte Kwikstaart",-2.84040601469201,-2.98547935459089,-0.145073339898882,FALSE
"fg_v1_holenbroed","Holenbroeders","binair","volledig",169,"Zwarte Roodstaart",-2.84040601469201,-2.83815677568621,0.00224923900580265,FALSE
"fg_v1_holenbroed","Holenbroeders","binair","volledig",170,"Gekraagde Roodstaart",-2.84040601469201,-2.94988384854242,-0.109477833850413,FALSE
"fg_v1_holenbroed","Holenbroeders","binair","volledig",173,"Tapuit",-2.84040601469201,-2.29799596826936,0.542410046422648,FALSE
"fg_v1_holenbroed","Holenbroeders","binair","volledig",203,"Grauwe Vliegenvanger",-2.84040601469201,-2.83204019903885,0.0083658156531552,FALSE
"fg_v1_holenbroed","Holenbroeders","binair","volledig",205,"Bonte Vliegenvanger",-2.84040601469201,-2.52404931683363,0.316356697858378,FALSE
"fg_v1_holenbroed","Holenbroeders","binair","volledig",208,"Glanskop",-2.84040601469201,-2.97900029178653,-0.138594277094517,FALSE
"fg_v1_holenbroed","Holenbroeders","binair","volledig",209,"Matkop",-2.84040601469201,-2.69018740274612,0.150218611945885,FALSE
"fg_v1_holenbroed","Holenbroeders","binair","volledig",210,"Kuifmees",-2.84040601469201,-2.85422744806423,-0.0138214333722186,FALSE
