"chart_id","chart_title","soort_naam"
"functioneel-bodem-insect-binair","Bodemfoeragerende insecteneters — binair","Kleine Plevier"
"functioneel-bodem-insect-binair","Bodemfoeragerende insecteneters — binair","Kneu"
"functioneel-bodem-insect-binair","Bodemfoeragerende insecteneters — binair","Kuifeend"
"functioneel-bodem-insect-binair","Bodemfoeragerende insecteneters — binair","Merel"
"functioneel-bodem-insect-binair","Bodemfoeragerende insecteneters — binair","Nachtegaal"
"functioneel-bodem-insect-binair","Bodemfoeragerende insecteneters — binair","Paapje"
"functioneel-bodem-insect-binair","Bodemfoeragerende insecteneters — binair","Rietgors"
"functioneel-bodem-insect-binair","Bodemfoeragerende insecteneters — binair","Roodborst"
"functioneel-bodem-insect-binair","Bodemfoeragerende insecteneters — binair","Roodborsttapuit"
"functioneel-bodem-insect-binair","Bodemfoeragerende insecteneters — binair","Scholekster"
"functioneel-bodem-insect-binair","Bodemfoeragerende insecteneters — binair","Spotvogel"
"functioneel-bodem-insect-binair","Bodemfoeragerende insecteneters — binair","Sprinkhaanzanger"
"functioneel-bodem-insect-binair","Bodemfoeragerende insecteneters — binair","Staartmees"
"functioneel-bodem-insect-binair","Bodemfoeragerende insecteneters — binair","Tapuit"
"functioneel-bodem-insect-binair","Bodemfoeragerende insecteneters — binair","Tjiftjaf"
"functioneel-bodem-insect-binair","Bodemfoeragerende insecteneters — binair","Torenvalk"
"functioneel-bodem-insect-binair","Bodemfoeragerende insecteneters — binair","Tuinfluiter"
"functioneel-bodem-insect-binair","Bodemfoeragerende insecteneters — binair","Veldleeuwerik"
"functioneel-bodem-insect-binair","Bodemfoeragerende insecteneters — binair","Vink"
"functioneel-bodem-insect-binair","Bodemfoeragerende insecteneters — binair","Witte Kwikstaart"
"functioneel-bodem-insect-binair","Bodemfoeragerende insecteneters — binair","Wulp"
"functioneel-bodem-insect-binair","Bodemfoeragerende insecteneters — binair","Zanglijster"
"functioneel-bodem-insect-binair","Bodemfoeragerende insecteneters — binair","Zomertortel"
"functioneel-bodem-insect-binair","Bodemfoeragerende insecteneters — binair","Zwartkop"
"functioneel-bodem-insect-gewogen","Bodemfoeragerende insecteneters — gewogen","Bergeend"
"functioneel-bodem-insect-gewogen","Bodemfoeragerende insecteneters — gewogen","Boomleeuwerik"
"functioneel-bodem-insect-gewogen","Bodemfoeragerende insecteneters — gewogen","Boompieper"
