"soort_id","euring_code","soort_naam","engelse_naam","analyse_categorie","basisjaar","basisjaar_toelichting","eerste_jaar","laatste_jaar","n_jaren_index","trend_pct_per_jaar","trend_p","trend_r2","trend_uitleg","trendduiding_type","model"
137,8310,"IJsvogel","kingfisher","trim_bruikbaar",2009,"index_100 = eerste analysejaar vanaf eerste positieve jaar",2009,2022,14,14.2409116459147,0.270458492483561,0.132837891673222,"onzeker","eigen_trendduiding_op_basis_van_trim_index","model2_basis"
142,8560,"Groene Specht","European Green Woodpecker","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,-4.05712573757167,0.000123173691695098,0.465566336145287,"matige afname","eigen_trendduiding_op_basis_van_trim_index","model3_overdisp"
144,8760,"Grote Bonte Specht","great spotted woodpecker","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,3.21039874316369,4.89731681915899e-08,0.717248915442619,"matige toename","eigen_trendduiding_op_basis_van_trim_index","model3_overdisp"
146,8870,"Kleine Bonte Specht","lesser spotted woodpecker","trim_bruikbaar",2005,"index_100 = eerste analysejaar vanaf eerste positieve jaar",2005,2022,18,18.7246241136914,8.6352324485584e-05,0.653274654978075,"sterke toename","eigen_trendduiding_op_basis_van_trim_index","model2_basis"
148,9740,"Boomleeuwerik","woodlark","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,11.0969603098695,1.88862149716695e-07,0.684146545322732,"sterke toename","eigen_trendduiding_op_basis_van_trim_index","model3_overdisp"
150,9760,"Veldleeuwerik","Skylark","trim_bruikbaar",1999,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1999,2022,24,-3.09759566557843,0.634559771664867,0.0400741670035023,"onzeker","eigen_trendduiding_op_basis_van_trim_index","model2_basis"
155,10090,"Boompieper","tree pipit","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,0.680971944696585,0.244617301051675,0.0559621572206602,"stabiel","eigen_trendduiding_op_basis_van_trim_index","model3_overdisp"
156,10110,"Graspieper","meadow pipit","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,-3.01048505574946,0.00924487370885337,0.250299583401379,"matige afname","eigen_trendduiding_op_basis_van_trim_index","model3_overdisp"
162,10201,"Witte Kwikstaart","White Wagtail","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,2.84229553632476,0.290755272282149,0.0505698994329075,"onzeker","eigen_trendduiding_op_basis_van_trim_index","model2_basis"
164,10660,"Winterkoning","wren","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,-1.94171698603937,0.0787538402318242,0.123174671235787,"onzeker","eigen_trendduiding_op_basis_van_trim_index","model3_overdisp"
165,10840,"Heggenmus","dunnock","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,-3.00605868720689,1.74265785970372e-14,0.917195813825536,"matige afname","eigen_trendduiding_op_basis_van_trim_index","model3_overdisp"
166,10990,"Roodborst","robin","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,-1.58873867095101,0.0242017092467629,0.194299995515151,"lichte afname","eigen_trendduiding_op_basis_van_trim_index","model3_overdisp"
167,11040,"Nachtegaal","nightingale","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,-1.96245245023201,8.04598825038898e-08,0.705487474424477,"lichte afname","eigen_trendduiding_op_basis_van_trim_index","model3_overdisp"
168,11060,"Blauwborst","bluethroat","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,1.7504759054302,0.184795406640695,0.0720788516940628,"onzeker","eigen_trendduiding_op_basis_van_trim_index","model3_overdisp"
