"id","euring_code","soort_naam","engelse_naam","n_jaren_eerste_venster","n_jaren_laatste_venster","som_territoria","in_sandra_selectie","selectie_reden"
348,1600,"Dwerggans","Lesser White-fronted Goose",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
517,11770,"Dwerglijster","Veery",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
104,5780,"Dwergmeeuw","Little Gull",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
468,7390,"Dwergooruil","Scops Owl",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
413,4750,"Dwergplevier","Piping Plover",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
267,31581,"Dwergspitsmuis","Eurasian Pygmy Shrew",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
118,6240,"Dwergstern","Little Tern",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
263,31401,"Eekhoorn","Red Squirrel",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
256,31101,"Egel","European Hedgehog",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
45,2060,"Eidereend","Eider",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
223,15490,"Ekster","magpie",5,5,669,TRUE,"aanwezig_in_sandra_plots_1997_2022"
619,35920,"Emoe","Emu",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
159,10172,"Engelse Kwikstaart","Yellow Wagtail (British)",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
235,16400,"Europese Kanarie","Serin",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
79,4330,"Europese Kraanvogel","Crane",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
129,7440,"Europese Oehoe","Eagle Owl",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
399,3570,"Europese steenpatrijs","Rock Partridge",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
56,2430,"Europese Zeearend","Grey Sea Eagle",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
200,13120,"Fitis","willow warbler",5,5,15509,TRUE,"aanwezig_in_sandra_plots_1997_2022"
289,1470,"Flamingo","Greater Flamingo",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
197,13080,"Fluiter","Wood Warbler",3,1,9,TRUE,"aanwezig_in_sandra_plots_1997_2022"
344,1530,"Fluitzwaan","Tundra Swan",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
446,6180,"Forster-stern","Foster's Tern",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
2,90,"Fuut","great crested grebe",5,5,652,TRUE,"aanwezig_in_sandra_plots_1997_2022"
222,15390,"Gaai","jay",5,5,1400,TRUE,"aanwezig_in_sandra_plots_1997_2022"
538,15010,"Gangesbrilvogel","Indian White-eye",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
249,18570,"Geelgors","Yellowhammer",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
537,14890,"Geelkopmees","Verdin",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
109,5926,"Geelpootmeeuw","Yellow-legged Gull",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
303,50,"Geelsnavelduiker","Yellow-billed Loon",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
170,11220,"Gekraagde Roodstaart","redstart",5,5,1624,TRUE,"aanwezig_in_sandra_plots_1997_2022"
158,10170,"Gele Kwikstaart","Yellow Wagtail",0,0,1,TRUE,"aanwezig_in_sandra_plots_1997_2022"
4,120,"Geoorde Fuut","black-necked grebe",5,1,163,TRUE,"aanwezig_in_sandra_plots_1997_2022"
567,18631,"Gestreepte gors","House Bunting",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
420,5070,"Gestreepte strandloper","Pond Bird",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
474,7630,"Gestreepte uil","Barred Owl",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
452,6360,"Gewone alk","Razorbill",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
261,31350,"Gewone Dwergvleermuis","Common Pipistrelle",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
71,3940,"Gewone Fazant","pheasant",5,0,284,TRUE,"aanwezig_in_sandra_plots_1997_2022"
258,31231,"Gewone Pad","Common Toad",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
279,31711,"Gewone Zeehond","Harbor Seal",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
604,32260,"Gierarend","palmnut vulture",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
392,3180,"Giervalk","Gyrfalcon",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
136,7950,"Gierzwaluw","Common Swift",0,1,1,TRUE,"aanwezig_in_sandra_plots_1997_2022"
208,14400,"Glanskop","marsh tit",5,5,731,TRUE,"aanwezig_in_sandra_plots_1997_2022"
556,16170,"Goudbuikje","Zebra Waxbill",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
201,13140,"Goudhaan","goldcrest",4,5,104,TRUE,"aanwezig_in_sandra_plots_1997_2022"
87,4850,"Goudplevier","European Golden Plover",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
246,17100,"Goudvink","bullfinch",5,5,735,TRUE,"aanwezig_in_sandra_plots_1997_2022"
621,36010,"Gough-eilandgors","Gough Finch",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
193,12750,"Grasmus","whitethroat",5,5,10042,TRUE,"aanwezig_in_sandra_plots_1997_2022"
156,10110,"Graspieper","meadow pipit",5,5,665,TRUE,"aanwezig_in_sandra_plots_1997_2022"
181,12260,"Graszanger","Zitting Cisticola",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
500,10370,"Grauwe buulbuul","Common Bulbul",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
524,12930,"Grauwe fitis","Greenish Warbler",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
431,5640,"Grauwe franjepoot","Red-necked Phalarope",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
21,1610,"Grauwe Gans","greylag goose",5,5,864,TRUE,"aanwezig_in_sandra_plots_1997_2022"
149,18820,"Grauwe Gors","Corn Bunting",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
59,2630,"Grauwe Kiekendief","Montagu's Harrier",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
219,15150,"Grauwe Klauwier","Red-backed Shrike",0,0,2,TRUE,"aanwezig_in_sandra_plots_1997_2022"
203,13350,"Grauwe Vliegenvanger","Spotted Flycatcher",5,5,60,TRUE,"aanwezig_in_sandra_plots_1997_2022"
521,12580,"Griekse spotvogel","Olive-tree Warbler",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
83,4590,"Griel","Stone-curlew",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
485,8290,"Grijskopijsvogel","Gray-headed Kingfisher",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
486,8550,"Grijskopspecht","Grey-headed Woodpecker",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
518,11781,"Grijswangdwerglijster","Gray-cheeked Thrush",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
566,18600,"Grijze gors","Rock Bunting",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
610,34570,"Grijze roodstaart","Gray Parrot",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
370,2350,"Grijze wouw","Sada baj",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
281,31763,"groene kikker-complex","Edible Frog complex",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
327,1070,"Groene reiger","Gaulin",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
142,8560,"Groene Specht","European Green Woodpecker",5,5,267,TRUE,"aanwezig_in_sandra_plots_1997_2022"
236,16490,"Groenling","greenfinch",5,5,97,TRUE,"aanwezig_in_sandra_plots_1997_2022"
99,5480,"Groenpootruiter","Greenshank",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
588,26610,"Grote alexanderparkiet","Alexandrine Parakeet",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
241,16631,"Grote Barmsijs","Common Redpoll",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
144,8760,"Grote Bonte Specht","great spotted woodpecker",5,5,1124,TRUE,"aanwezig_in_sandra_plots_1997_2022"
111,5990,"Grote Burgemeester","Glaucous Gull",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
25,1661,"Grote Canadese Gans","canada goose",3,5,269,TRUE,"aanwezig_in_sandra_plots_1997_2022"
325,920,"Grote fregatvogel","Great Frigatebird",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
428,5500,"Grote geelpootruiter","Greater Yellowlegs",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
160,10190,"Grote Gele Kwikstaart","Grey Wagtail",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
435,5690,"Grote jager","Great Skua",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
189,12530,"Grote Karekiet","Great Reed Warbler",2,0,3,TRUE,"aanwezig_in_sandra_plots_1997_2022"
494,9400,"Grote kiskadie","Great Kiskadee",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
244,16680,"Grote Kruisbek","Parrot Crossbill",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
179,12020,"Grote Lijster","mistle thrush",3,5,48,TRUE,"aanwezig_in_sandra_plots_1997_2022"
112,6000,"Grote Mantelmeeuw","Great Black-backed Gull",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
466,7330,"Grote renkoekoek","road-runner",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
115,6110,"Grote Stern","Sandwich Tern",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
357,1970,"Grote tafeleend of Canvasback","Canvasback",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
410,4460,"Grote Trap","Great Bustard",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
51,2230,"Grote Zaagbek","Common Goosander",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
363,2150,"Grote zee-eend","Velvet Scoter",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
10,1210,"Grote Zilverreiger","Great Egret",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
95,5320,"Grutto","Black-tailed Godwit",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
560,16990,"Haakbek","Pine Grosbeak",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
259,31301,"Haas","European Hare",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
601,30670,"Hadada-ibis","hadada",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
126,7120,"Halsbandparkiet","ring-necked parakeet",0,3,40,TRUE,"aanwezig_in_sandra_plots_1997_2022"
331,1260,"Hamerkop","Hamerkop",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
361,2110,"Harlekijneend","Harlequin",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
611,34630,"Hartlaubs eend","Hartlaub's Duck",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
60,2670,"Havik","goshawk",5,5,87,TRUE,"aanwezig_in_sandra_plots_1997_2022"
393,3260,"Hazelhoen","Hazel Grouse",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
287,31861,"Heckrund","Heck Cattle",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
165,10840,"Heggenmus","dunnock",5,5,7163,TRUE,"aanwezig_in_sandra_plots_1997_2022"
16,4320,"Heilige Ibis","Sacred Ibis",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
405,3980,"Helmparelhoen","Guinea Fowl",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
338,1400,"Heremietibis","Waldrapp",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
122,6680,"Holenduif","stock dove",5,5,71,TRUE,"aanwezig_in_sandra_plots_1997_2022"
140,8460,"Hop","Hoopoe",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
123,6700,"Houtduif","woodpigeon",5,5,1836,TRUE,"aanwezig_in_sandra_plots_1997_2022"
94,5290,"Houtsnip","Woodcock",4,5,30,TRUE,"aanwezig_in_sandra_plots_1997_2022"
481,8000,"Huisgierzwaluw","Ababil",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
278,31691,"Huiskat","Domestic Cat",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
