"soort_id","euring_code","soort_naam","engelse_naam","n_getelde_cellen","n_positieve_cellen","n_jaren_geteld","n_positieve_jaren","n_actieve_plots","model_gelukt","model","model_overdispersion","model_serial_correlation","model_aic","model_fallback_reden","fout","waarschuwingen","modelpogingen","modelselectie_methode","analyse_categorie"
76,4210,"Kwartelkoning","Corncrake",625,1,26,1,1,FALSE,NA,FALSE,FALSE,NA,"geen_model","te_weinig_data",NA,NA,"vaste_voorkeurhierarchie_eerste_werkende_model","te_zeldzaam"
77,4240,"Waterhoen","moorhen",625,205,26,26,18,TRUE,"model3_overdisp",TRUE,FALSE,NA,"voorkeursmodel_gekozen",NA,"Overdispersion 1.0 <1; consider setting overdisp=FALSE","model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA","vaste_voorkeurhierarchie_eerste_werkende_model","trim_bruikbaar"
78,4290,"Meerkoet","Eurasian coot",625,419,26,26,19,TRUE,"model3_overdisp",TRUE,FALSE,NA,"voorkeursmodel_gekozen",NA,NA,"model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA","vaste_voorkeurhierarchie_eerste_werkende_model","trim_bruikbaar"
80,4500,"Scholekster","oystercatcher",625,15,26,9,5,TRUE,"model2_basis",FALSE,FALSE,NA,"model3_varianten_mislukt_fallback_naar_model2",NA,"Data ends with 17 years without positive observations.","model3_overdisp:fout:Found zero or less counts for year 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26 || model3_overdisp_serialcor:fout:Found zero or less counts for year 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26 || model3_basis:fout:Found zero or less counts for year 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26 || model2_basis:ok:aic=NA","vaste_voorkeurhierarchie_eerste_werkende_model","trim_bruikbaar"
82,4560,"Kluut","Pied Avocet",625,1,26,1,1,FALSE,NA,FALSE,FALSE,NA,"geen_model","te_weinig_data",NA,NA,"vaste_voorkeurhierarchie_eerste_werkende_model","te_zeldzaam"
84,4690,"Kleine Plevier","little ringed plover",625,47,26,19,11,TRUE,"model2_basis",FALSE,FALSE,NA,"model3_varianten_mislukt_fallback_naar_model2",NA,NA,"model3_overdisp:fout:Found zero or less counts for year 6, 7, 8, 10, 11, 14, 15 || model3_overdisp_serialcor:fout:Found zero or less counts for year 6, 7, 8, 10, 11, 14, 15 || model3_basis:fout:Found zero or less counts for year 6, 7, 8, 10, 11, 14, 15 || model2_basis:ok:aic=NA","vaste_voorkeurhierarchie_eerste_werkende_model","trim_bruikbaar"
88,4930,"Kievit","lapwing",625,147,26,26,10,TRUE,"model3_overdisp",TRUE,FALSE,NA,"voorkeursmodel_gekozen",NA,"Overdispersion 1.0 <1; consider setting overdisp=FALSE","model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA","vaste_voorkeurhierarchie_eerste_werkende_model","trim_bruikbaar"
93,5190,"Watersnip","Common Snipe",625,3,26,2,2,FALSE,NA,FALSE,FALSE,NA,"geen_model","te_weinig_data",NA,NA,"vaste_voorkeurhierarchie_eerste_werkende_model","te_zeldzaam"
94,5290,"Houtsnip","Woodcock",625,31,26,20,14,TRUE,"model2_basis",FALSE,FALSE,NA,"model3_varianten_mislukt_fallback_naar_model2",NA,NA,"model3_overdisp:fout:Found zero or less counts for year 5, 6, 16, 18, 20 || model3_overdisp_serialcor:fout:Found zero or less counts for year 5, 6, 16, 18, 20 || model3_basis:fout:Found zero or less counts for year 5, 6, 16, 18, 20 || model2_basis:ok:aic=NA","vaste_voorkeurhierarchie_eerste_werkende_model","trim_bruikbaar"
97,5410,"Wulp","Curlew",625,5,26,3,3,TRUE,"model2_basis",FALSE,FALSE,NA,"model3_varianten_mislukt_fallback_naar_model2",NA,"Data ends with 11 years without positive observations.","model3_overdisp:fout:Found zero or less counts for year 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26 || model3_overdisp_serialcor:fout:Found zero or less counts for year 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26 || model3_basis:fout:Found zero or less counts for year 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26 || model2_basis:ok:aic=NA","vaste_voorkeurhierarchie_eerste_werkende_model","trim_bruikbaar"
