"soort_id","euring_code","soort_naam","brugfactor","brugmethode"
151,9810,"Oeverzwaluw",1,"fallback_1"
152,9920,"Boerenzwaluw",0.0176331061189668,"1981_1983_naar_1984_1986"
154,10050,"Duinpieper",NA,"geen_model"
155,10090,"Boompieper",0.696766741823165,"1981_1983_naar_1984_1986"
156,10110,"Graspieper",10.4834299596994,"1981_1983_naar_1984_1986"
158,10171,"Gele Kwikstaart",1.25070008778912,"1981_1983_naar_1984_1986"
159,10172,"Engelse Kwikstaart",NA,"geen_model"
162,10201,"Witte Kwikstaart",1.21495696693973,"1981_1983_naar_1984_1986"
163,10202,"Rouwkwikstaart",NA,"geen_model"
164,10660,"Winterkoning",105.750284857415,"1981_1983_naar_1984_1986"
165,10840,"Heggenmus",17.8381648147328,"1981_1983_naar_1984_1986"
166,10990,"Roodborst",3.70111026257095,"1981_1983_naar_1984_1986"
167,11040,"Nachtegaal",2.13529372355922,"1981_1983_naar_1984_1986"
168,11060,"Blauwborst",1,"alleen_post"
169,11210,"Zwarte Roodstaart",0.035552021843431,"1981_1983_naar_1984_1986"
170,11220,"Gekraagde Roodstaart",0.539101278068089,"1981_1983_naar_1984_1986"
171,11370,"Paapje",0.00942924343794659,"1981_1983_naar_1984_1986"
172,11390,"Roodborsttapuit",0.540760300476092,"1981_1983_naar_1984_1986"
173,11460,"Tapuit",6.97829967569498,"1981_1983_naar_1984_1986"
174,11860,"Beflijster",NA,"geen_model"
175,11870,"Merel",10.572858323052,"1981_1983_naar_1984_1986"
176,11980,"Kramsvogel",1,"alleen_post"
177,12000,"Zanglijster",5.28294990524713,"1981_1983_naar_1984_1986"
179,12020,"Grote Lijster",0.0131858056012004,"1981_1983_naar_1984_1986"
180,12200,"Cetti's Zanger",1,"alleen_post"
182,12360,"Sprinkhaanrietzanger",0.864310926215392,"1981_1983_naar_1984_1986"
184,12380,"Snor",1,"alleen_post"
186,12430,"Rietzanger",9.69115148315334,"1981_1983_naar_1984_1986"
187,12500,"Bosrietzanger",49.0490527152428,"1981_1983_naar_1984_1986"
188,12510,"Kleine Karekiet",35.933564378406,"1981_1983_naar_1984_1986"
189,12530,"Grote Karekiet",1,"alleen_post"
190,12590,"Spotvogel",0.411524359100941,"1981_1983_naar_1984_1986"
192,12740,"Braamsluiper",35.3614959145317,"1981_1983_naar_1984_1986"
193,12750,"Grasmus",0.45177161032346,"1981_1983_naar_1984_1986"
194,12760,"Tuinfluiter",7.65241160163701,"1981_1983_naar_1984_1986"
195,12770,"Zwartkop",9.99643665510153,"1981_1983_naar_1984_1986"
197,13080,"Fluiter",1,"alleen_post"
198,13110,"Tjiftjaf",6.21603495466804,"1981_1983_naar_1984_1986"
200,13120,"Fitis",3.81473874730287,"1981_1983_naar_1984_1986"
201,13140,"Goudhaan",1,"alleen_post"
202,13150,"Vuurgoudhaan",1,"alleen_post"
203,13350,"Grauwe Vliegenvanger",0.0249108601473749,"1981_1983_naar_1984_1986"
205,13490,"Bonte Vliegenvanger",0.387927748036733,"1981_1983_naar_1984_1986"
206,13640,"Baardmannetje",NA,"geen_model"
207,14370,"Staartmees",15.7047216996041,"1981_1983_naar_1984_1986"
208,14400,"Glanskop",2.80648926773909,"1981_1983_naar_1984_1986"
209,14420,"Matkop",3.16201479695439,"1981_1983_naar_1984_1986"
210,14540,"Kuifmees",0.0440684907592979,"1981_1983_naar_1984_1986"
212,14610,"Zwarte Mees",2.92046685791059,"1981_1983_naar_1984_1986"
213,14620,"Pimpelmees",10.3275890096819,"1981_1983_naar_1984_1986"
214,14640,"Koolmees",16.0184511517358,"1981_1983_naar_1984_1986"
215,14790,"Boomklever",4.67480031503613e-07,"1981_1983_naar_1984_1986"
217,14870,"Boomkruiper",3.64630209745516,"1981_1983_naar_1984_1986"
218,15080,"Wielewaal",1.48855613022138,"1981_1983_naar_1984_1986"
219,15150,"Grauwe Klauwier",0.0701714538239631,"1981_1983_naar_1984_1986"
222,15390,"Gaai",4.04552487025915,"1981_1983_naar_1984_1986"
223,15490,"Ekster",29.7516508841166,"1981_1983_naar_1984_1986"
224,15600,"Kauw",12.8701975851197,"1981_1983_naar_1984_1986"
225,15630,"Roek",NA,"geen_model"
226,15671,"Zwarte Kraai",1.38166932719061,"1981_1983_naar_1984_1986"
