"soort_id","euring_code","soort_naam","analyse_categorie","basisjaar_index_gebrugged","basisjaar_toelichting","eerste_jaar","laatste_jaar","n_jaren_index","overall_trend_pct_per_jaar","overall_p","overall_r2","overall_uitleg","trend_pre_pct_per_jaar","trend_pre_p","trend_pre_r2","trend_pre_uitleg","trend_post_pct_per_jaar","trend_post_p","trend_post_r2","trend_post_uitleg","trendduiding_type","brugfactor","brugmethode"
148,9740,"Boomleeuwerik","brugbare_tijdreeks",1961,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1961,2025,65,4.65046108145668,4.80231338826056e-11,0.499305125074171,"matige toename",0.755440878217861,0.694421897679294,0.00749817865160826,"stabiel",11.0231414021026,2.26985532831727e-19,0.870740211051252,"sterke toename","eigen_trendduiding_op_basis_van_trim_index",1.10307048369374,"1981_1983_naar_1984_1986"
150,9760,"Veldleeuwerik","brugbare_tijdreeks",1958,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1958,2025,68,-4.66189260485289,1.71407691302456e-19,0.711753322353891,"matige afname",3.6990000648683,0.000250551136489726,0.434390914719146,"matige toename",-6.80822592955911,3.62248980467517e-15,0.790768719907908,"sterke afname","eigen_trendduiding_op_basis_van_trim_index",1.62573974172146,"1981_1983_naar_1984_1986"
151,9810,"Oeverzwaluw","brugbare_tijdreeks",1966,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1966,2025,29,2.20058366094715,0.095264504777757,0.164207169512491,"onzeker",-15.6435186970667,0.189009570889284,0.204869543104642,"onzeker",-11.4865259710917,0.386916856252924,0.126654548209582,"onzeker","eigen_trendduiding_op_basis_van_trim_index",1,"fallback_1"
152,9920,"Boerenzwaluw","brugbare_tijdreeks",1971,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1971,2025,54,-1.29904321785388,0.14330156358598,0.0415281788776136,"onzeker",-26.7278036291976,6.84507999923328e-10,0.980584574016482,"sterke afname",3.60457814663488,0.000245510502605319,0.294669910773787,"matige toename","eigen_trendduiding_op_basis_van_trim_index",0.017404912650585,"1981_1983_naar_1984_1986"
155,10090,"Boompieper","brugbare_tijdreeks",1958,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1958,2025,68,-0.572868736899235,0.101970042108867,0.0400068872828913,"stabiel",-2.16089125848055,0.0899725695717263,0.11509989308465,"onzeker",3.20477341373899,1.92373089403857e-09,0.598160240578086,"matige toename","eigen_trendduiding_op_basis_van_trim_index",0.77318803230214,"1981_1983_naar_1984_1986"
156,10110,"Graspieper","brugbare_tijdreeks",1958,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1958,2025,68,3.65867277254437,1.0491794385686e-16,0.65034118559063,"matige toename",11.0391150877894,5.35305289126975e-14,0.909108954142233,"sterke toename",1.21668168962057,0.0190117451341896,0.129963343255803,"lichte toename","eigen_trendduiding_op_basis_van_trim_index",9.10999019643189,"1981_1983_naar_1984_1986"
158,10171,"Gele Kwikstaart","brugbare_tijdreeks",1975,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1975,2025,51,-4.37636780425564,0.00114836357658581,0.257445555623675,"matige afname",-4.23378134270832,0.388170038957141,0.252577319587577,"onzeker",-2.77668548129199,0.0961072423599603,0.0867657623083887,"onzeker","eigen_trendduiding_op_basis_van_trim_index",1.1700810490665,"1981_1983_naar_1984_1986"
162,10201,"Witte Kwikstaart","brugbare_tijdreeks",1958,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1958,2025,68,1.81632112880572,6.92847494446217e-20,0.719513590151716,"lichte toename",2.5893701971351,0.000217754034448606,0.440678937016011,"matige toename",2.52284568217851,2.53576090988643e-12,0.710406103676823,"matige toename","eigen_trendduiding_op_basis_van_trim_index",1.2638181916853,"1981_1983_naar_1984_1986"
164,10660,"Winterkoning","brugbare_tijdreeks",1958,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1958,2025,68,3.7856605981774,7.49952546244475e-10,0.439085012859582,"matige toename",12.3840465537151,2.89470713464162e-05,0.524284082892838,"sterke toename",-0.310480397958601,0.58578708771379,0.00748942519286256,"stabiel","eigen_trendduiding_op_basis_van_trim_index",111.537747877188,"1981_1983_naar_1984_1986"
165,10840,"Heggenmus","brugbare_tijdreeks",1958,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1958,2025,68,1.05116921131203,0.00289010227441455,0.126711610953899,"lichte toename",9.82924862707841,5.66669684753512e-15,0.924572714846725,"sterke toename",-2.48823711510326,1.13174220850256e-28,0.95560761067457,"matige afname","eigen_trendduiding_op_basis_van_trim_index",18.3064299840714,"1981_1983_naar_1984_1986"
166,10990,"Roodborst","brugbare_tijdreeks",1960,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1960,2025,66,1.24831849370168,2.69664801334391e-07,0.340647636843368,"lichte toename",5.73748626241479,6.06441836252524e-13,0.909215715476813,"sterke toename",-0.552220000621539,0.0836461495294951,0.0729518023851604,"stabiel","eigen_trendduiding_op_basis_van_trim_index",3.8655961983563,"1981_1983_naar_1984_1986"
167,11040,"Nachtegaal","brugbare_tijdreeks",1958,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1958,2025,68,0.510232343248895,0.00690085624962468,0.105435066652731,"lichte toename",3.60301328239898,1.37376990098827e-06,0.628524218368476,"matige toename",-1.44009010358327,4.04010859768351e-11,0.667893197231438,"lichte afname","eigen_trendduiding_op_basis_van_trim_index",2.2590121731833,"1981_1983_naar_1984_1986"
