"groep_100","groep_titel","soort_id","euring_code","soort_naam","engelse_naam","msi_variant"
700,"Bosrandvogels",200,13120,"Fitis","willow warbler","robuust"
700,"Bosrandvogels",170,11220,"Gekraagde Roodstaart","redstart","robuust"
700,"Bosrandvogels",193,12750,"Grasmus","whitethroat","robuust"
700,"Bosrandvogels",142,8560,"Groene Specht","European Green Woodpecker","robuust"
700,"Bosrandvogels",236,16490,"Groenling","greenfinch","robuust"
700,"Bosrandvogels",165,10840,"Heggenmus","dunnock","robuust"
700,"Bosrandvogels",239,16600,"Kneu","common linnet","robuust"
700,"Bosrandvogels",167,11040,"Nachtegaal","nightingale","robuust"
700,"Bosrandvogels",135,7780,"Nachtzwaluw","Nightjar","robuust"
700,"Bosrandvogels",237,16530,"Putter","goldfinch","robuust"
700,"Bosrandvogels",172,11390,"Roodborsttapuit","stonechat","robuust"
700,"Bosrandvogels",190,12590,"Spotvogel","Icterine Warbler","robuust"
700,"Bosrandvogels",194,12760,"Tuinfluiter","garden warbler","robuust"
700,"Bosrandvogels",226,15671,"Zwarte Kraai","carrion crow","robuust"
800,"Bosvogels",248,17170,"Appelvink","hawfinch","robuust"
800,"Bosvogels",215,14790,"Boomklever","nuthatch","robuust"
800,"Bosvogels",217,14870,"Boomkruiper","short-toed treecreeper","robuust"
800,"Bosvogels",66,3100,"Boomvalk","hobby","robuust"
800,"Bosvogels",131,7610,"Bosuil","tawny owl","robuust"
800,"Bosvogels",62,2870,"Buizerd","buzzard","robuust"
800,"Bosvogels",197,13080,"Fluiter","Wood Warbler","robuust"
800,"Bosvogels",222,15390,"Gaai","jay","robuust"
800,"Bosvogels",170,11220,"Gekraagde Roodstaart","redstart","robuust"
800,"Bosvogels",208,14400,"Glanskop","marsh tit","robuust"
800,"Bosvogels",201,13140,"Goudhaan","goldcrest","robuust"
800,"Bosvogels",203,13350,"Grauwe Vliegenvanger","Spotted Flycatcher","robuust"
800,"Bosvogels",142,8560,"Groene Specht","European Green Woodpecker","robuust"
800,"Bosvogels",144,8760,"Grote Bonte Specht","great spotted woodpecker","robuust"
800,"Bosvogels",179,12020,"Grote Lijster","mistle thrush","robuust"
800,"Bosvogels",126,7120,"Halsbandparkiet","ring-necked parakeet","robuust"
800,"Bosvogels",60,2670,"Havik","goshawk","robuust"
800,"Bosvogels",122,6680,"Holenduif","stock dove","robuust"
800,"Bosvogels",123,6700,"Houtduif","woodpigeon","robuust"
800,"Bosvogels",94,5290,"Houtsnip","Woodcock","robuust"
800,"Bosvogels",224,15600,"Kauw","jackdaw","robuust"
800,"Bosvogels",146,8870,"Kleine Bonte Specht","lesser spotted woodpecker","robuust"
800,"Bosvogels",214,14640,"Koolmees","great tit","robuust"
800,"Bosvogels",243,16660,"Kruisbek","Crossbill","robuust"
800,"Bosvogels",210,14540,"Kuifmees","crested tit","robuust"
800,"Bosvogels",213,14620,"Pimpelmees","blue tit","robuust"
800,"Bosvogels",132,7670,"Ransuil","Long-eared Owl","robuust"
800,"Bosvogels",232,15980,"Ringmus","Tree Sparrow","robuust"
800,"Bosvogels",238,16540,"Sijs","Eurasian Siskin","robuust"
800,"Bosvogels",61,2690,"Sperwer","Sparrowhawk","robuust"
800,"Bosvogels",229,15820,"Spreeuw","starling","robuust"
800,"Bosvogels",198,13110,"Tjiftjaf","Common Chiffchaff","robuust"
800,"Bosvogels",64,3040,"Torenvalk","kestrel","robuust"
800,"Bosvogels",233,16360,"Vink","chaffinch","robuust"
800,"Bosvogels",218,15080,"Wielewaal","golden oriole","robuust"
800,"Bosvogels",212,14610,"Zwarte Mees","coal tit","robuust"
900,"Vogels van bebouwing/overige",122,6680,"Holenduif","stock dove","robuust"
900,"Vogels van bebouwing/overige",224,15600,"Kauw","jackdaw","robuust"
900,"Vogels van bebouwing/overige",127,7240,"Koekoek","cuckoo","robuust"
900,"Vogels van bebouwing/overige",232,15980,"Ringmus","Tree Sparrow","robuust"
900,"Vogels van bebouwing/overige",229,15820,"Spreeuw","starling","robuust"
900,"Vogels van bebouwing/overige",124,6840,"Turkse Tortel","Collared Dove","robuust"
