plot_id,jaar,bron,klasse,area_m2,pct
29456,2022,CBS_NBBG2022,Open droog natuurlijk terrein,90496.99267825608,87.95655406351082
29456,2022,CBS_NBBG2022,Overig binnenwater,12391.295342794509,12.043445936489189
29457,2022,CBS_NBBG2022,Bos,77557.37362760476,19.421105411843193
29457,2022,CBS_NBBG2022,Hoofdweg,2079.389586285913,0.5206989672117256
29457,2022,CBS_NBBG2022,Open droog natuurlijk terrein,315343.2782034403,78.96496181409371
29457,2022,CBS_NBBG2022,Openbare voorziening,4365.783564955856,1.0932338068513678
29459,2022,CBS_NBBG2022,Bos,28996.826009676155,7.401142978062449
29459,2022,CBS_NBBG2022,Detailhandel en horeca,28019.71038634663,7.151744218627633
29459,2022,CBS_NBBG2022,Hoofdweg,16817.36296625329,4.2924597259603
29459,2022,CBS_NBBG2022,Open droog natuurlijk terrein,317430.8486709623,81.02097436034981
29459,2022,CBS_NBBG2022,Woonterrein,523.7378212432352,0.1336787169998054
100425,2022,CBS_NBBG2022,Bos,4801.834801505193,2.658608915596885
100425,2022,CBS_NBBG2022,Hoofdweg,768.5921968199654,0.4255427667530819
100425,2022,CBS_NBBG2022,Open droog natuurlijk terrein,1622.741718922594,0.8984556487212499
100425,2022,CBS_NBBG2022,Openbare voorziening,173421.39152645518,96.01739266892878
112100,2022,CBS_NBBG2022,Bos,102526.70603971361,23.8556992958223
112100,2022,CBS_NBBG2022,Hoofdweg,3685.564090452899,0.8575493359093073
112100,2022,CBS_NBBG2022,Open droog natuurlijk terrein,321905.9093803991,74.90039300348202
112100,2022,CBS_NBBG2022,Openbare voorziening,1660.4858235857148,0.38635836478637053
