plot_id,jaar,habitat_id,aandeel_m2,habitat_code,habitat_code_raw
29459,2014,2.0,23604.958928865144,H2120,H2120
29459,2014,3.0,54504.34050483171,H2130A,H2130A
29459,2014,4.0,35726.57148862125,H2130B,H2130B
29459,2014,5.0,98605.30111343451,H2160,H2160
29459,2014,6.0,18838.177552466983,H2180A,H2180Ao
29459,2014,7.0,18353.577051407436,H2180C,H2180C
100425,2014,,407.03784711583324,H0000,H0000
100425,2014,3.0,14.851231912202067,H2130A,H2130A
100425,2014,5.0,853.8995707030782,H2160,H2160
100425,2014,6.0,967.5176262799187,H2180A,H2180Ao
112100,2014,,56933.74223162649,H0000,H0000
112100,2014,3.0,3873.8924911637496,H2130A,H2130A
112100,2014,4.0,201040.09850727298,H2130B,H2130B
112100,2014,4.0,7982.521333260485,H2130B,ZGH2130B
112100,2014,5.0,41619.075848805114,H2160,H2160
112100,2014,5.0,13867.02514249115,H2160,ZGH2160
112100,2014,6.0,4981.0909160773035,H2180A,H2180Ao
112100,2014,6.0,3068.836969177635,H2180A,ZGH2180Abe
112100,2014,6.0,3241.50279478593,H2180A,ZGH2180Ao
112100,2014,13.0,29403.58116512079,H2180B,H2180B
112100,2014,13.0,1253.3246816555236,H2180B,ZGH2180B
112100,2014,7.0,6771.131997767086,H2180C,H2180C
112100,2014,7.0,22940.320928119316,H2180C,ZGH2180C
112100,2014,9.0,954.7553600363041,H2190B,H2190B
