plot_id,jaar,habitat_id,aandeel_m2
3583,2014,6.0,391.997979814109
3583,2014,7.0,22491.91681304055
9917,2014,3.0,12236.193052260784
9917,2014,4.0,33005.141983258705
9917,2014,5.0,33048.88015582264
9917,2014,6.0,291288.5227225735
9917,2014,13.0,1.4213572889610016
9917,2014,11.0,115.03501998341582
10626,2014,3.0,16736.49860638413
10626,2014,3.0,1108.1156931229564
10626,2014,4.0,18062.22562332526
10626,2014,5.0,74299.49543283318
10626,2014,5.0,59.69262910989883
10626,2014,6.0,123694.11213981408
12381,2014,3.0,3096.2963072522484
12381,2014,4.0,31380.9541359633
12381,2014,5.0,3741.888262546832
12381,2014,6.0,3913.436284848268
12381,2014,6.0,160489.48833475058
12381,2014,7.0,2146.891040140676
12382,2014,3.0,1068.8456430551046
12382,2014,4.0,5544.85491937644
12382,2014,5.0,3476.140521001435
12382,2014,6.0,52904.24098662803
20247,2014,3.0,1269.8026176262215
20247,2014,3.0,12.953587277796077
20247,2014,4.0,45058.02992711218
20247,2014,5.0,44846.95740240285
20247,2014,6.0,162411.7023462657
20247,2014,7.0,996.2156647670294
20247,2014,11.0,1556.5937891182227
20758,2014,1.0,4473.3055943200025
20758,2014,2.0,41977.413199530805
20758,2014,3.0,70558.25459281246
20758,2014,4.0,2065.6077494136666
20758,2014,5.0,50461.262289856946
20758,2014,5.0,5911.946974113131
20758,2014,6.0,1090.0695333595777
20758,2014,7.0,64537.79391625929
20758,2014,8.0,3627.159690052437
20758,2014,11.0,199.85445028233028
27371,2014,3.0,5361.874871528531
27371,2014,4.0,43663.64423814435
27371,2014,5.0,25642.84126797765
27371,2014,5.0,9.491289538548417
27371,2014,6.0,21776.921506336468
27371,2014,6.0,305592.4864354229
27371,2014,7.0,1894.2557459264576
29455,2014,3.0,10629.630113757246
29455,2014,4.0,39063.33309222325
29455,2014,5.0,41002.11629354365
29455,2014,6.0,345053.77439604624
29455,2014,13.0,166.53544472462735
29455,2014,7.0,159.10064245612443
29455,2014,9.0,1532.1160255441
29455,2014,10.0,537.0869537344944
29456,2014,3.0,31534.12455415447
29456,2014,4.0,406.3602494606081
29456,2014,5.0,24700.33656362703
29456,2014,6.0,27018.89598145944
29456,2014,13.0,2883.217454678418
29456,2014,11.0,14.277713933190464
29457,2014,3.0,14621.370553972269
29457,2014,4.0,219444.0579735195
29457,2014,5.0,32551.416558808374
29457,2014,6.0,96077.01106574052
29459,2014,2.0,23604.958928865144
29459,2014,3.0,54504.34050483171
29459,2014,4.0,35726.57148862125
29459,2014,5.0,98605.30111343451
29459,2014,6.0,18838.177552466983
29459,2014,7.0,18353.577051407436
100425,2014,3.0,14.851231912202069
100425,2014,5.0,853.8995707030782
100425,2014,6.0,967.5176262799188
112100,2014,3.0,3873.8924911637496
112100,2014,4.0,201040.09850727295
112100,2014,4.0,7982.521333260485
112100,2014,5.0,41619.075848805114
112100,2014,5.0,13867.02514249115
112100,2014,6.0,4981.0909160773035
112100,2014,6.0,3068.836969177635
112100,2014,6.0,3241.50279478593
112100,2014,13.0,29403.58116512079
112100,2014,13.0,1253.3246816555236
112100,2014,7.0,6771.131997767086
112100,2014,7.0,22940.320928119316
112100,2014,9.0,954.755360036304
