"plot_id","plot_label","totaal_aantal","detecties","geldige_bezoeken","gemiddeld_per_bezoek","waarnemingsfrequentie","soort_id","soort_naam","modelstatus"
"3533","M36",4,1,56,0.0714285714285714,0.0178571428571429,174,"Beflijster","alleen_beschrijvend"
"3534","M1a",0,0,91,0,0,174,"Beflijster","alleen_beschrijvend"
"3581","M4-5",0,0,98,0,0,174,"Beflijster","alleen_beschrijvend"
"3583","M75a",0,0,55,0,0,174,"Beflijster","alleen_beschrijvend"
"9917","M51",0,0,11,0,0,174,"Beflijster","alleen_beschrijvend"
"10626","M43",0,0,42,0,0,29,"Bergeend","alleen_beschrijvend"
"12381","M54a",0,0,39,0,0,29,"Bergeend","alleen_beschrijvend"
"12382","M54b",0,0,2,0,0,29,"Bergeend","alleen_beschrijvend"
"20247","M52",0,0,19,0,0,29,"Bergeend","alleen_beschrijvend"
"20758","M78/79",0,0,9,0,0,29,"Bergeend","alleen_beschrijvend"
"27371","M53",0,0,27,0,0,29,"Bergeend","alleen_beschrijvend"
"29455","M55",0,0,9,0,0,29,"Bergeend","alleen_beschrijvend"
"29456","M16s",0,0,33,0,0,29,"Bergeend","alleen_beschrijvend"
"29457","M42",0,0,62,0,0,29,"Bergeend","alleen_beschrijvend"
"29459","M31",0,0,3,0,0,29,"Bergeend","alleen_beschrijvend"
"3490","M33",0,0,76,0,0,29,"Bergeend","alleen_beschrijvend"
"3496","M34",0,0,37,0,0,29,"Bergeend","alleen_beschrijvend"
"3497","M83",0,0,135,0,0,29,"Bergeend","alleen_beschrijvend"
"3498","M7",2,1,128,0.015625,0.0078125,29,"Bergeend","alleen_beschrijvend"
"3500","M46",0,0,31,0,0,29,"Bergeend","alleen_beschrijvend"
"3501","M71",0,0,118,0,0,29,"Bergeend","alleen_beschrijvend"
"3502","M10-12-76",0,0,85,0,0,29,"Bergeend","alleen_beschrijvend"
"3504","M3",0,0,118,0,0,29,"Bergeend","alleen_beschrijvend"
"3505","M1b",0,0,62,0,0,29,"Bergeend","alleen_beschrijvend"
"3506","M13s",0,0,151,0,0,29,"Bergeend","alleen_beschrijvend"
"3507","M45",0,0,49,0,0,29,"Bergeend","alleen_beschrijvend"
"3508","M32",0,0,90,0,0,29,"Bergeend","alleen_beschrijvend"
"3509","M63",0,0,52,0,0,29,"Bergeend","alleen_beschrijvend"
"3510","M85",0,0,34,0,0,29,"Bergeend","alleen_beschrijvend"
"3511","M13",0,0,75,0,0,29,"Bergeend","alleen_beschrijvend"
"3512","M14",4,2,140,0.0285714285714286,0.0142857142857143,29,"Bergeend","alleen_beschrijvend"
"3513","M17a",0,0,133,0,0,29,"Bergeend","alleen_beschrijvend"
"3515","M35",0,0,23,0,0,29,"Bergeend","alleen_beschrijvend"
"3516","M64",0,0,93,0,0,29,"Bergeend","alleen_beschrijvend"
"3517","M84",0,0,75,0,0,29,"Bergeend","alleen_beschrijvend"
"3518","M65",0,0,12,0,0,29,"Bergeend","alleen_beschrijvend"
"3519","M12a",0,0,65,0,0,29,"Bergeend","alleen_beschrijvend"
"3520","M62",0,0,56,0,0,29,"Bergeend","alleen_beschrijvend"
"3521","M6",1,1,102,0.00980392156862745,0.00980392156862745,29,"Bergeend","alleen_beschrijvend"
"3522","M61",0,0,46,0,0,29,"Bergeend","alleen_beschrijvend"
"3523","M2",1,1,94,0.0106382978723404,0.0106382978723404,29,"Bergeend","alleen_beschrijvend"
"3524","M15",2,1,139,0.0143884892086331,0.00719424460431655,29,"Bergeend","alleen_beschrijvend"
"3525","M16",6,4,131,0.0458015267175573,0.0305343511450382,29,"Bergeend","alleen_beschrijvend"
"3526","M72",0,0,123,0,0,29,"Bergeend","alleen_beschrijvend"
"3527","M73",0,0,106,0,0,29,"Bergeend","alleen_beschrijvend"
"3528","M74",0,0,140,0,0,29,"Bergeend","alleen_beschrijvend"
