"soort_id","soort_naam","seizoen_start","seizoen","index","index_ondergrens","index_bovengrens","schatting_aantal","ondergrens_aantal","bovengrens_aantal","schatting_detectie","ondergrens_detectie","bovengrens_detectie","totaal_aantal","gemiddeld_per_bezoek","waarnemingsfrequentie","geldige_bezoeken","geldige_plots","detecties","modelstatus","weergavetype"
124,"Turkse Tortel",2011,"11/12",,,,,,,,,,0,0,0,114,29,0,"alleen_beschrijvend","beschrijvend"
124,"Turkse Tortel",2012,"12/13",,,,,,,,,,0,0,0,124,29,0,"alleen_beschrijvend","beschrijvend"
124,"Turkse Tortel",2013,"13/14",,,,,,,,,,1,0.0087719298245614,0.0087719298245614,114,25,1,"alleen_beschrijvend","beschrijvend"
124,"Turkse Tortel",2014,"14/15",,,,,,,,,,0,0,0,114,27,0,"alleen_beschrijvend","beschrijvend"
124,"Turkse Tortel",2015,"15/16",,,,,,,,,,0,0,0,126,27,0,"alleen_beschrijvend","beschrijvend"
124,"Turkse Tortel",2016,"16/17",,,,,,,,,,1,0.00483091787439614,0.00483091787439614,207,40,1,"alleen_beschrijvend","beschrijvend"
124,"Turkse Tortel",2017,"17/18",,,,,,,,,,1,0.00467289719626168,0.00467289719626168,214,40,1,"alleen_beschrijvend","beschrijvend"
124,"Turkse Tortel",2018,"18/19",,,,,,,,,,2,0.0100502512562814,0.0050251256281407,199,38,1,"alleen_beschrijvend","beschrijvend"
124,"Turkse Tortel",2019,"19/20",,,,,,,,,,1,0.00555555555555556,0.00555555555555556,180,35,1,"alleen_beschrijvend","beschrijvend"
124,"Turkse Tortel",2020,"20/21",,,,,,,,,,2,0.0118343195266272,0.0118343195266272,169,31,2,"alleen_beschrijvend","beschrijvend"
124,"Turkse Tortel",2021,"21/22",,,,,,,,,,3,0.0176470588235294,0.0117647058823529,170,33,2,"alleen_beschrijvend","beschrijvend"
124,"Turkse Tortel",2022,"22/23",,,,,,,,,,0,0,0,182,37,0,"alleen_beschrijvend","beschrijvend"
124,"Turkse Tortel",2023,"23/24",,,,,,,,,,0,0,0,190,37,0,"alleen_beschrijvend","beschrijvend"
124,"Turkse Tortel",2024,"24/25",,,,,,,,,,0,0,0,174,34,0,"alleen_beschrijvend","beschrijvend"
150,"Veldleeuwerik",2000,"00/01",,,,,,,,,,23,0.221153846153846,0.0480769230769231,104,21,5,"alleen_beschrijvend","beschrijvend"
150,"Veldleeuwerik",2001,"01/02",,,,,,,,,,10,0.072992700729927,0.0364963503649635,137,24,5,"alleen_beschrijvend","beschrijvend"
150,"Veldleeuwerik",2002,"02/03",,,,,,,,,,28,0.194444444444444,0.0486111111111111,144,23,7,"alleen_beschrijvend","beschrijvend"
150,"Veldleeuwerik",2003,"03/04",,,,,,,,,,20,0.150375939849624,0.037593984962406,133,24,5,"alleen_beschrijvend","beschrijvend"
150,"Veldleeuwerik",2004,"04/05",,,,,,,,,,5,0.0342465753424658,0.0205479452054795,146,25,3,"alleen_beschrijvend","beschrijvend"
150,"Veldleeuwerik",2005,"05/06",,,,,,,,,,19,0.134751773049645,0.049645390070922,141,24,7,"alleen_beschrijvend","beschrijvend"
150,"Veldleeuwerik",2006,"06/07",,,,,,,,,,9,0.0633802816901408,0.028169014084507,142,22,4,"alleen_beschrijvend","beschrijvend"
150,"Veldleeuwerik",2007,"07/08",,,,,,,,,,8,0.062992125984252,0.0236220472440945,127,20,3,"alleen_beschrijvend","beschrijvend"
150,"Veldleeuwerik",2008,"08/09",,,,,,,,,,5,0.0352112676056338,0.00704225352112676,142,24,1,"alleen_beschrijvend","beschrijvend"
150,"Veldleeuwerik",2009,"09/10",,,,,,,,,,23,0.164285714285714,0.05,140,27,7,"alleen_beschrijvend","beschrijvend"
150,"Veldleeuwerik",2010,"10/11",,,,,,,,,,21,0.161538461538462,0.0384615384615385,130,27,5,"alleen_beschrijvend","beschrijvend"
150,"Veldleeuwerik",2011,"11/12",,,,,,,,,,6,0.0526315789473684,0.0263157894736842,114,29,3,"alleen_beschrijvend","beschrijvend"
150,"Veldleeuwerik",2012,"12/13",,,,,,,,,,56,0.451612903225806,0.0645161290322581,124,29,8,"alleen_beschrijvend","beschrijvend"
