"soort_id","soort_naam","soortgroep","protocolgroep","telkarakteristiek","bron_soort_ids","voorlopige_klasse","geldige_bezoeken","detecties","winters","plots","maximum_bezoektotaal","pct_nul","trend_aantal_pct_per_jaar","trend_aantal_laag","trend_aantal_hoog","trend_detectie_pct_per_jaar","trend_detectie_laag","trend_detectie_hoog","trend_getrimd_pct_per_jaar","trend_vanaf_2012_pct_per_jaar","zelfde_trendrichting","robuust_tegen_extremen","robuust_met_telduur","modellen_geconvergeerd","voorspellingen_geldig","model_getest","advies","reden_status"
152,"Boerenzwaluw","overige_vogels","alle_volledige_bezoeken","overige vogelsoort","152","alleen_beschrijvend",3757,69,25,50,60,98.1634282672345,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"alleen_beschrijvend","onvoldoende winters of positieve bezoeken voor volledige modelvalidatie"
92,"Bokje","water_wetland","alle_volledige_bezoeken","water- of wetlandsoort","92","nader_beoordelen",3757,131,25,50,9,96.513175405909,2.89694215442016,0.191218563792317,5.67573542374664,3.28581138456865,0.47826384056171,6.17180697206852,2.61378153328358,8.88624255059476,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"indicatief","kernmodellen bruikbaar; minimaal één gevoeligheidscontrole vraagt terughoudendheid"
85,"Bontbekplevier","water_wetland","alle_volledige_bezoeken","water- of wetlandsoort","85","alleen_beschrijvend",3757,4,25,50,8,99.8935320734629,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"alleen_beschrijvend","onvoldoende winters of positieve bezoeken voor volledige modelvalidatie"
227,"Bonte Kraai","overige_vogels","alle_volledige_bezoeken","overige vogelsoort","227","alleen_beschrijvend",3757,3,25,50,6,99.9201490550972,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"alleen_beschrijvend","onvoldoende winters of positieve bezoeken voor volledige modelvalidatie"
90,"Bonte Strandloper","water_wetland","alle_volledige_bezoeken","water- of wetlandsoort","90","alleen_beschrijvend",3757,12,25,50,12,99.6805962203886,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"alleen_beschrijvend","onvoldoende winters of positieve bezoeken voor volledige modelvalidatie"
205,"Bonte Vliegenvanger","overige_vogels","alle_volledige_bezoeken","overige vogelsoort","205","alleen_beschrijvend",3757,9,25,50,2,99.7604471652915,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"alleen_beschrijvend","onvoldoende winters of positieve bezoeken voor volledige modelvalidatie"
215,"Boomklever","overige_vogels","alle_volledige_bezoeken","overige vogelsoort","215","nader_beoordelen",3757,213,25,50,9,94.3305829118978,1.68560012391981,-0.44092405492947,3.85754562714662,2.71586031622935,-0.566282242348348,6.10634097196119,1.64874679098177,-2.96276418941801,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"alleen_beschrijvend","minimaal één kernmodel, Hessiaan of voorspelling is niet stabiel"
217,"Boomkruiper","overige_vogels","alle_volledige_bezoeken","overige vogelsoort","217","kansrijk",3757,1154,25,50,17,69.2840031940378,4.09004878295998,3.16901533222582,5.01930468899856,5.25039821052717,3.87790685853231,6.64102366406749,4.00128222459044,-0.0495021917617078,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"indicatief","kernmodellen bruikbaar; minimaal één gevoeligheidscontrole vraagt terughoudendheid"
148,"Boomleeuwerik","overige_vogels","alle_volledige_bezoeken","overige vogelsoort","148","kansrijk",3757,1069,25,50,50,71.5464466329518,6.80206492020523,5.61684657459287,8.00058363003349,8.25809239072381,6.65547371685424,9.88479221602732,6.57302092684589,5.83778542667925,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"betrouwbaar","kernmodellen en gevoeligheidscontroles groen"
155,"Boompieper","overige_vogels","alle_volledige_bezoeken","overige vogelsoort","155","alleen_beschrijvend",3757,73,25,50,7,98.0569603406974,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"alleen_beschrijvend","onvoldoende winters of positieve bezoeken voor volledige modelvalidatie"
66,"Boomvalk","overige_vogels","alle_volledige_bezoeken","overige vogelsoort","66","alleen_beschrijvend",3757,43,25,50,3,98.8554697897258,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"alleen_beschrijvend","onvoldoende winters of positieve bezoeken voor volledige modelvalidatie"
