"maand","totaal_aantal","detecties","geldige_bezoeken","gemiddeld_per_bezoek","waarnemingsfrequentie","schatting_aantal","ondergrens_aantal","bovengrens_aantal","schatting_detectie","ondergrens_detectie","bovengrens_detectie","maandindex","soort_id","soort_naam","modelstatus","weergavetype"
"nov",0,0,570,0,0,,,,,,,,141,"Draaihals","alleen_beschrijvend","beschrijvend"
"okt",0,0,547,0,0,,,,,,,,141,"Draaihals","alleen_beschrijvend","beschrijvend"
"sep",4,4,508,0.0078740157480315,0.0078740157480315,,,,,,,,141,"Draaihals","alleen_beschrijvend","beschrijvend"
"dec",0,0,563,0,0,,,,,,,,442,"Drieteenmeeuw","alleen_beschrijvend","beschrijvend"
"feb",0,0,556,0,0,,,,,,,,442,"Drieteenmeeuw","alleen_beschrijvend","beschrijvend"
"jan",3,2,562,0.00533807829181495,0.00355871886120996,,,,,,,,442,"Drieteenmeeuw","alleen_beschrijvend","beschrijvend"
"mrt",0,0,451,0,0,,,,,,,,442,"Drieteenmeeuw","alleen_beschrijvend","beschrijvend"
"nov",1,1,570,0.00175438596491228,0.00175438596491228,,,,,,,,442,"Drieteenmeeuw","alleen_beschrijvend","beschrijvend"
"okt",0,0,547,0,0,,,,,,,,442,"Drieteenmeeuw","alleen_beschrijvend","beschrijvend"
"sep",0,0,508,0,0,,,,,,,,442,"Drieteenmeeuw","alleen_beschrijvend","beschrijvend"
"dec",13,2,563,0.0230905861456483,0.00355239786856128,,,,,,,,89,"Drieteenstrandloper","alleen_beschrijvend","beschrijvend"
"feb",0,0,556,0,0,,,,,,,,89,"Drieteenstrandloper","alleen_beschrijvend","beschrijvend"
"jan",165,4,562,0.293594306049822,0.00711743772241993,,,,,,,,89,"Drieteenstrandloper","alleen_beschrijvend","beschrijvend"
"mrt",0,0,451,0,0,,,,,,,,89,"Drieteenstrandloper","alleen_beschrijvend","beschrijvend"
"nov",107,5,570,0.187719298245614,0.0087719298245614,,,,,,,,89,"Drieteenstrandloper","alleen_beschrijvend","beschrijvend"
"okt",0,0,547,0,0,,,,,,,,89,"Drieteenstrandloper","alleen_beschrijvend","beschrijvend"
"sep",0,0,508,0,0,,,,,,,,89,"Drieteenstrandloper","alleen_beschrijvend","beschrijvend"
"dec",0,0,563,0,0,,,,,,,,154,"Duinpieper","alleen_beschrijvend","beschrijvend"
"feb",0,0,556,0,0,,,,,,,,154,"Duinpieper","alleen_beschrijvend","beschrijvend"
"jan",0,0,562,0,0,,,,,,,,154,"Duinpieper","alleen_beschrijvend","beschrijvend"
"mrt",0,0,451,0,0,,,,,,,,154,"Duinpieper","alleen_beschrijvend","beschrijvend"
"nov",0,0,570,0,0,,,,,,,,154,"Duinpieper","alleen_beschrijvend","beschrijvend"
"okt",1,1,547,0.00182815356489945,0.00182815356489945,,,,,,,,154,"Duinpieper","alleen_beschrijvend","beschrijvend"
"sep",1,1,508,0.00196850393700787,0.00196850393700787,,,,,,,,154,"Duinpieper","alleen_beschrijvend","beschrijvend"
"dec",0,0,563,0,0,,,,,,,,642,"Dwerggors","alleen_beschrijvend","beschrijvend"
"feb",0,0,556,0,0,,,,,,,,642,"Dwerggors","alleen_beschrijvend","beschrijvend"
"jan",0,0,562,0,0,,,,,,,,642,"Dwerggors","alleen_beschrijvend","beschrijvend"
"mrt",0,0,451,0,0,,,,,,,,642,"Dwerggors","alleen_beschrijvend","beschrijvend"
"nov",0,0,570,0,0,,,,,,,,642,"Dwerggors","alleen_beschrijvend","beschrijvend"
"okt",1,1,547,0.00182815356489945,0.00182815356489945,,,,,,,,642,"Dwerggors","alleen_beschrijvend","beschrijvend"
"sep",0,0,508,0,0,,,,,,,,642,"Dwerggors","alleen_beschrijvend","beschrijvend"
"dec",1,1,563,0.00177619893428064,0.00177619893428064,,,,,,,,104,"Dwergmeeuw","alleen_beschrijvend","beschrijvend"
"feb",0,0,556,0,0,,,,,,,,104,"Dwergmeeuw","alleen_beschrijvend","beschrijvend"
"jan",0,0,562,0,0,,,,,,,,104,"Dwergmeeuw","alleen_beschrijvend","beschrijvend"
"mrt",0,0,451,0,0,,,,,,,,104,"Dwergmeeuw","alleen_beschrijvend","beschrijvend"
"nov",0,0,570,0,0,,,,,,,,104,"Dwergmeeuw","alleen_beschrijvend","beschrijvend"
"okt",0,0,547,0,0,,,,,,,,104,"Dwergmeeuw","alleen_beschrijvend","beschrijvend"
"sep",0,0,508,0,0,,,,,,,,104,"Dwergmeeuw","alleen_beschrijvend","beschrijvend"
"dec",1150,314,563,2.04262877442274,0.557726465364121,1.83356885351776,1.34768505007916,2.53968520982257,0.633409150151207,0.535726574840254,0.712870545304515,121.887374604532,223,"Ekster","indicatief","modelindex"
"feb",921,278,556,1.65647482014388,0.5,1.44938127011777,1.02611054558886,1.99388216395006,0.580707339293928,0.477129183803266,0.67368367492482,96.3483195499893,223,"Ekster","indicatief","modelindex"
