"groep_100","jaar","log_index_spliced","msi","periode","n_soorten","density_per_km2","korte_beschrijving","post_break","log_msi","gam_fit_log","gam_fit_se","gam_fit_msi","gam_fit_lower","gam_fit_upper"
100,2015,3.94325872961705,51.5864339315125,"1984-2025",12,72.2735376596521,"Watervogels","post",3.94325872961705,3.76275508547458,0.0409204351087439,43.0669157130564,39.7476624332887,46.6633536537772
100,2016,4.02115522301445,55.7654902081763,"1984-2025",12,76.4370604197488,"Watervogels","post",4.02115522301445,3.74545673856584,0.0414065031127029,42.3283357878323,39.0288061402217,45.9068105780728
100,2017,3.56223988153513,35.2420468151018,"1984-2025",13,67.5567383597591,"Watervogels","post",3.56223988153513,3.72913864882921,0.0421451723259803,41.6432232723799,38.3415479494277,45.229213144984
100,2018,3.49517410749987,32.9560253447072,"1984-2025",12,60.4054620018566,"Watervogels","post",3.49517410749987,3.71369101646035,0.043306529461443,41.0048772300647,37.6679732959628,44.6373884637134
100,2019,3.76721830602118,43.2595624487813,"1984-2025",12,65.5787257501265,"Watervogels","post",3.76721830602118,3.69899055862975,0.0451083685853732,40.406495778132,36.9874311469486,44.141613797986
100,2020,3.89609459704947,49.2098888923893,"1984-2025",12,75.5067919359385,"Watervogels","post",3.89609459704947,3.6849054938773,0.0477642488503555,39.8413570197609,36.2807597432142,43.7513916580246
100,2021,3.49872304060488,33.0731918591481,"1984-2025",13,71.3606087628987,"Watervogels","post",3.49872304060488,3.6713012184248,0.0514189535986816,39.303014407899,35.5350690478599,43.4704921908839
100,2022,3.7448335869512,42.3019670337606,"1984-2025",11,68.9261317048893,"Watervogels","post",3.7448335869512,3.65804662534238,0.0561041925245869,38.7855062018346,34.7466237144521,43.29386082789
100,2023,3.70968172180585,40.840805720271,"1984-2025",12,70.9041443145219,"Watervogels","post",3.70968172180585,3.64502102810454,0.0617372601198988,38.2835778741717,33.9203794768936,43.2080170519954
100,2024,3.7841257452357,43.9971889877643,"1984-2025",11,68.7739768887637,"Watervogels","post",3.7841257452357,3.63212166196753,0.0681574966911877,37.7929154071181,33.066906163782,43.1943783278401
100,2025,3.60182154310055,36.6649604588276,"1984-2025",11,59.6446879212287,"Watervogels","post",3.60182154310055,3.61927174837642,0.0751782314925836,37.3103865762612,32.198582010862,43.2337345166458
200,1958,3.03100001426459,20.7179404695784,"1958-1983",3,5.57206537890045,"Rietvogels","pre",3.03100001426459,3.61976058928956,0.115663354207265,37.3286298783777,29.7568814665402,46.8270376438384
200,1959,3.96577413926196,52.7610980215672,"1958-1983",4,15.2862701500834,"Rietvogels","pre",3.96577413926196,3.71630283669284,0.0969703378696096,41.1121145794232,33.9959355379345,49.717883577747
200,1960,3.73110231729559,41.7250770973435,"1958-1983",5,15.1334129828753,"Rietvogels","pre",3.73110231729559,3.81171434444691,0.0809732327985461,45.2279086564436,38.5905260860921,53.0068887081801
200,1961,4.50715152332795,90.6631983431456,"1958-1983",3,17.3930427828868,"Rietvogels","pre",4.50715152332795,3.90436773993709,0.0691858768921553,49.6186980713162,43.3264551217164,56.8247550226745
200,1962,4.33209879186037,76.1038452012891,"1958-1983",4,16.1935225909636,"Rietvogels","pre",4.33209879186037,3.99230136018064,0.0627653838696025,54.1794323874867,47.9079378495167,61.2719107854451
200,1963,3.69815946221691,40.3729280353827,"1958-1983",4,10.2912029272755,"Rietvogels","pre",3.69815946221691,4.07351975151785,0.0613736572391665,58.7634316966721,52.1032529426315,66.274958083165
200,1964,3.86412426684089,47.6615153819071,"1958-1983",5,15.7681333533564,"Rietvogels","pre",3.86412426684089,4.14625334793229,0.0630182228175031,63.1967798385023,55.8538038325829,71.5051206526116
200,1965,4.48386626971195,88.5764720366509,"1958-1983",5,25.211665098777,"Rietvogels","pre",4.48386626971195,4.20916850752332,0.0653621333443152,67.3005566320308,59.2081218663711,76.4990474314261
200,1966,4.34364209510093,76.987424866994,"1958-1983",6,26.6913809082484,"Rietvogels","pre",4.34364209510093,4.26152057224079,0.0668204118839714,70.9177370522909,62.2122897696063,80.8413489881695
