"groep_100","jaar","territoria","surveyed_km2","density_per_km2","periode","korte_beschrijving","index_raw","index_spliced","bridge_factor"
400,1961,128,5.002,25.5897640943623,"1958-1983","Vogels van open heide",131.417241694851,131.417241694851,0.37916435173517
400,1962,121,5.002,24.1903238704518,"1958-1983","Vogels van open heide",124.230361289664,124.230361289664,0.37916435173517
400,1963,87,5.2472,16.5802713828327,"1958-1983","Vogels van open heide",85.1486369178369,85.1486369178369,0.37916435173517
400,1964,87,5.3272,16.3312809731191,"1958-1983","Vogels van open heide",83.8699368590017,83.8699368590017,0.37916435173517
400,1965,73,5.315,13.7347130761994,"1958-1983","Vogels van open heide",70.5351601245121,70.5351601245121,0.37916435173517
400,1966,77,5.395,14.2724745134384,"1958-1983","Vogels van open heide",73.296855172235,73.296855172235,0.37916435173517
400,1967,82,5.735,14.2981691368788,"1958-1983","Vogels van open heide",73.428810923233,73.428810923233,0.37916435173517
400,1968,109,5.6,19.4642857142857,"1958-1983","Vogels van open heide",99.9596061417177,99.9596061417177,0.37916435173517
400,1969,84,5.6,15,"1958-1983","Vogels van open heide",77.033090971599,77.033090971599,0.37916435173517
400,1970,88,5.625,15.6444444444444,"1958-1983","Vogels van open heide",80.3426608059343,80.3426608059343,0.37916435173517
400,1971,100,5.615,17.8094390026714,"1958-1983","Vogels van open heide",91.4610756563953,91.4610756563953,0.37916435173517
400,1972,107,5.645,18.9548272807794,"1958-1983","Vogels van open heide",97.3432622847486,97.3432622847486,0.37916435173517
400,1973,117,5.715,20.4724409448819,"1958-1983","Vogels van open heide",105.137027047852,105.137027047852,0.37916435173517
400,1974,114,5.855,19.4705380017079,"1958-1983","Vogels van open heide",99.9917150101028,99.9917150101028,0.37916435173517
400,1975,134,5.505,24.3415077202543,"1958-1983","Vogels van open heide",125.006771906682,125.006771906682,0.37916435173517
400,1976,140,6.49,21.5716486902928,"1958-1983","Vogels van open heide",110.782051731113,110.782051731113,0.37916435173517
400,1977,129,6.175,20.8906882591093,"1958-1983","Vogels van open heide",107.284952608219,107.284952608219,0.37916435173517
400,1978,143,6.38,22.4137931034483,"1958-1983","Vogels van open heide",115.106917543769,115.106917543769,0.37916435173517
400,1979,123,6.37,19.309262166405,"1958-1983","Vogels van open heide",99.1634766039422,99.1634766039422,0.37916435173517
400,1980,110,6.38,17.2413793103448,"1958-1983","Vogels van open heide",88.5437827259758,88.5437827259758,0.37916435173517
400,1981,119,6.38,18.6520376175549,"1958-1983","Vogels van open heide",95.7882740399193,95.7882740399193,0.37916435173517
400,1982,117,6.035,19.3869096934548,"1958-1983","Vogels van open heide",99.5622385382721,99.5622385382721,0.37916435173517
400,1983,99,6.38,15.5172413793103,"1958-1983","Vogels van open heide",79.6894044533782,79.6894044533782,0.37916435173517
400,1984,64,3.02300608,21.1709795833424,"1984-2025","Vogels van open heide",336.639129742416,127.641557397475,0.37916435173517
400,1985,77,5.13012052,15.0093939703389,"1984-2025","Vogels van open heide",238.66393636842,90.492856715696,0.37916435173517
400,1986,40,4.23796013,9.43850314136863,"1984-2025","Vogels van open heide",150.081363551141,56.9055029183987,0.37916435173517
400,1987,48,5.02247314,9.55704463956576,"1984-2025","Vogels van open heide",151.96628846141,57.6201992500704,0.37916435173517
400,1988,44,4.70180252,9.35811315188967,"1984-2025","Vogels van open heide",148.803084669823,56.4208251350271,0.37916435173517
400,1989,40,4.70180252,8.50737559262697,"1984-2025","Vogels van open heide",135.275531518021,51.291659213661,0.37916435173517
400,1990,34,4.85514176,7.00288512276107,"1984-2025","Vogels van open heide",111.352672375503,42.2209638352365,0.37916435173517
400,1991,41,5.55688703,7.37823169314997,"1984-2025","Vogels van open heide",117.321047259155,44.4839588289087,0.37916435173517
400,1992,43,6.1308353,7.01372617202749,"1984-2025","Vogels van open heide",111.525055584139,42.286325402789,0.37916435173517
400,1993,37,6.1308353,6.03506670616319,"1984-2025","Vogels van open heide",95.9634199212362,36.3859079047254,0.37916435173517
400,1994,36,6.1308353,5.8719567951858,"1984-2025","Vogels van open heide",93.3698139774189,35.4025049883814,0.37916435173517
400,1995,33,6.09164596,5.41725507632751,"1984-2025","Vogels van open heide",86.1396151892026,32.661071351931,0.37916435173517
400,1996,44,6.44975091,6.82196888127576,"1984-2025","Vogels van open heide",108.475928488895,41.1302051043626,0.37916435173517
400,1997,41,6.09164596,6.7305290342251,"1984-2025","Vogels van open heide",107.021946144161,40.578906831187,0.37916435173517
400,1998,32,5.62796272,5.6858940956169,"1984-2025","Vogels van open heide",90.411236410716,34.2807178432443,0.37916435173517
400,1999,31,6.09164596,5.08893658685312,"1984-2025","Vogels van open heide",80.919032450463,30.681612482117,0.37916435173517
400,2000,41,5.70172844,7.19080195267946,"1984-2025","Vogels van open heide",114.340732414891,43.3539296830167,0.37916435173517
400,2001,36,6.44975091,5.58161090286198,"1984-2025","Vogels van open heide",88.7530324000053,33.6519859944785,0.37916435173517
400,2002,38,6.09164596,6.2380513000135,"1984-2025","Vogels van open heide",99.1910720360515,37.609718526466,0.37916435173517
400,2003,52,6.2141484,8.36800099592086,"1984-2025","Vogels van open heide",133.059340115132,50.4513584370634,0.37916435173517
400,2004,38,6.2141484,6.11507765086524,"1984-2025","Vogels van open heide",97.2356716225963,36.8683003963156,0.37916435173517
400,2005,44,6.2141484,7.08061622731765,"1984-2025","Vogels van open heide",112.588672405111,42.6896109852075,0.37916435173517
