"jaar","groep_100","soort_id","soort_naam","territoria","surveyed_km2","density_per_km2","periode","index_raw","bridge_factor","index_spliced","log_index_spliced"
1964,600,200,"Fitis",285,5.3272,53.4990238774591,"1958-1983",69.8387961594179,1.090799001896,69.8387961594179,4.24618967426105
1964,700,200,"Fitis",285,5.3272,53.4990238774591,"1958-1983",69.8387961594179,1.090799001896,69.8387961594179,4.24618967426105
1965,600,200,"Fitis",299,5.315,56.2558795860771,"1958-1983",73.4376559127493,1.090799001896,73.4376559127493,4.29643682740345
1965,700,200,"Fitis",299,5.315,56.2558795860771,"1958-1983",73.4376559127493,1.090799001896,73.4376559127493,4.29643682740345
1966,600,200,"Fitis",316,5.395,58.5727525486562,"1958-1983",76.4621525639676,1.090799001896,76.4621525639676,4.33679588068349
1966,700,200,"Fitis",316,5.395,58.5727525486562,"1958-1983",76.4621525639676,1.090799001896,76.4621525639676,4.33679588068349
1967,600,200,"Fitis",307,5.735,53.5309503051439,"1958-1983",69.880473616567,1.090799001896,69.880473616567,4.24678626281254
1967,700,200,"Fitis",307,5.735,53.5309503051439,"1958-1983",69.880473616567,1.090799001896,69.880473616567,4.24678626281254
1968,600,200,"Fitis",334,5.6,59.6428571428571,"1958-1983",77.8590905117485,1.090799001896,77.8590905117485,4.35490066104227
1968,700,200,"Fitis",334,5.6,59.6428571428571,"1958-1983",77.8590905117485,1.090799001896,77.8590905117485,4.35490066104227
1969,600,200,"Fitis",332,5.6,59.2857142857143,"1958-1983",77.3928684128757,1.090799001896,77.3928684128757,4.34889463698206
1969,700,200,"Fitis",332,5.6,59.2857142857143,"1958-1983",77.3928684128757,1.090799001896,77.3928684128757,4.34889463698206
1970,600,200,"Fitis",329,5.625,58.4888888888889,"1958-1983",76.3526751078352,1.090799001896,76.3526751078352,4.33536306848156
1970,700,200,"Fitis",329,5.625,58.4888888888889,"1958-1983",76.3526751078352,1.090799001896,76.3526751078352,4.33536306848156
1971,600,200,"Fitis",337,5.615,60.0178094390027,"1958-1983",78.3485614419096,1.090799001896,78.3485614419096,4.36116760796863
1971,700,200,"Fitis",337,5.615,60.0178094390027,"1958-1983",78.3485614419096,1.090799001896,78.3485614419096,4.36116760796863
1972,600,200,"Fitis",392,5.645,69.4419840566873,"1958-1983",90.6510851590302,1.090799001896,90.6510851590302,4.50701790799551
1972,700,200,"Fitis",392,5.645,69.4419840566873,"1958-1983",90.6510851590302,1.090799001896,90.6510851590302,4.50701790799551
1973,600,200,"Fitis",448,5.715,78.3902012248469,"1958-1983",102.332283609094,1.090799001896,102.332283609094,4.62822520097488
1973,700,200,"Fitis",448,5.715,78.3902012248469,"1958-1983",102.332283609094,1.090799001896,102.332283609094,4.62822520097488
1974,600,200,"Fitis",486,5.855,83.0059777967549,"1958-1983",108.357819324685,1.090799001896,108.357819324685,4.68543889265749
1974,700,200,"Fitis",486,5.855,83.0059777967549,"1958-1983",108.357819324685,1.090799001896,108.357819324685,4.68543889265749
1975,600,200,"Fitis",511,5.505,92.8247048138056,"1958-1983",121.175400375499,1.090799001896,121.175400375499,4.79723908583573
1975,700,200,"Fitis",511,5.505,92.8247048138056,"1958-1983",121.175400375499,1.090799001896,121.175400375499,4.79723908583573
1976,600,200,"Fitis",640,6.49,98.613251155624,"1958-1983",128.731895405233,1.090799001896,128.731895405233,4.85773191144439
1976,700,200,"Fitis",640,6.49,98.613251155624,"1958-1983",128.731895405233,1.090799001896,128.731895405233,4.85773191144439
1977,600,200,"Fitis",615,6.175,99.5951417004049,"1958-1983",130.013676803055,1.090799001896,130.013676803055,4.86763965109915
1977,700,200,"Fitis",615,6.175,99.5951417004049,"1958-1983",130.013676803055,1.090799001896,130.013676803055,4.86763965109915
1978,600,200,"Fitis",567,6.38,88.871473354232,"1958-1983",116.014765543945,1.090799001896,116.014765543945,4.75371747217773
1978,700,200,"Fitis",567,6.38,88.871473354232,"1958-1983",116.014765543945,1.090799001896,116.014765543945,4.75371747217773
1979,600,200,"Fitis",599,6.37,94.0345368916797,"1958-1983",122.754741637263,1.090799001896,122.754741637263,4.81018839433805
1979,700,200,"Fitis",599,6.37,94.0345368916797,"1958-1983",122.754741637263,1.090799001896,122.754741637263,4.81018839433805
1980,600,200,"Fitis",777,6.38,121.786833855799,"1958-1983",158.983197226888,1.090799001896,158.983197226888,5.06879851881762
1980,700,200,"Fitis",777,6.38,121.786833855799,"1958-1983",158.983197226888,1.090799001896,158.983197226888,5.06879851881762
1981,600,200,"Fitis",769,6.38,120.532915360502,"1958-1983",157.346304591347,1.090799001896,157.346304591347,5.05844913795562
1981,700,200,"Fitis",769,6.38,120.532915360502,"1958-1983",157.346304591347,1.090799001896,157.346304591347,5.05844913795562
1982,600,200,"Fitis",832,6.035,137.862468931234,"1958-1983",179.968682938517,1.090799001896,179.968682938517,5.19278285207839
1982,700,200,"Fitis",832,6.035,137.862468931234,"1958-1983",179.968682938517,1.090799001896,179.968682938517,5.19278285207839
1983,600,200,"Fitis",964,6.38,151.097178683386,"1958-1983",197.245562582651,1.090799001896,197.245562582651,5.28444946306052
1983,700,200,"Fitis",964,6.38,151.097178683386,"1958-1983",197.245562582651,1.090799001896,197.245562582651,5.28444946306052
1984,600,200,"Fitis",388,3.02300608,128.349063724013,"1984-2025",151.11459973967,1.090799001896,164.835654567946,5.10494894460863
1984,700,200,"Fitis",388,3.02300608,128.349063724013,"1984-2025",151.11459973967,1.090799001896,164.835654567946,5.10494894460863
