"groep_100","jaar","territoria","surveyed_km2","density_per_km2","periode","korte_beschrijving"
300,1994,109,6.1308353,17.7789802965348,"1984-2025","Vogels van pionierbegroeiingen"
300,1995,116,6.09164596,19.0424723895149,"1984-2025","Vogels van pionierbegroeiingen"
300,1996,104,6.44975091,16.1246537193791,"1984-2025","Vogels van pionierbegroeiingen"
300,1997,100,6.09164596,16.4159244737197,"1984-2025","Vogels van pionierbegroeiingen"
300,1998,87,5.62796272,15.4585245724584,"1984-2025","Vogels van pionierbegroeiingen"
300,1999,73,6.09164596,11.9836248658154,"1984-2025","Vogels van pionierbegroeiingen"
300,2000,81,5.70172844,14.2062184918789,"1984-2025","Vogels van pionierbegroeiingen"
300,2001,80,6.44975091,12.4035797841377,"1984-2025","Vogels van pionierbegroeiingen"
300,2002,78,6.09164596,12.8044210895014,"1984-2025","Vogels van pionierbegroeiingen"
300,2003,100,6.2141484,16.0923096075401,"1984-2025","Vogels van pionierbegroeiingen"
300,2004,78,6.2141484,12.5520014938813,"1984-2025","Vogels van pionierbegroeiingen"
300,2005,90,6.2141484,14.4830786467861,"1984-2025","Vogels van pionierbegroeiingen"
300,2006,58,5.65793112,10.2510968709,"1984-2025","Vogels van pionierbegroeiingen"
300,2007,74,6.1308353,12.0701334123264,"1984-2025","Vogels van pionierbegroeiingen"
300,2008,71,6.02064405,11.792758284722,"1984-2025","Vogels van pionierbegroeiingen"
300,2009,60,5.98606767,10.0232745948894,"1984-2025","Vogels van pionierbegroeiingen"
300,2010,49,6.44975091,7.59719261778437,"1984-2025","Vogels van pionierbegroeiingen"
300,2011,59,6.44975091,9.14764009080158,"1984-2025","Vogels van pionierbegroeiingen"
300,2012,53,6.44975091,8.21737160699125,"1984-2025","Vogels van pionierbegroeiingen"
300,2013,53,6.44975091,8.21737160699125,"1984-2025","Vogels van pionierbegroeiingen"
300,2014,69,6.44975091,10.6980875638188,"1984-2025","Vogels van pionierbegroeiingen"
300,2015,81,6.57225335,12.3245401061723,"1984-2025","Vogels van pionierbegroeiingen"
300,2016,93,6.44975091,14.4191614990601,"1984-2025","Vogels van pionierbegroeiingen"
300,2017,100,6.57225335,15.2154816125583,"1984-2025","Vogels van pionierbegroeiingen"
300,2018,97,6.57225335,14.7590171641816,"1984-2025","Vogels van pionierbegroeiingen"
300,2019,104,6.10857011,17.0252609247698,"1984-2025","Vogels van pionierbegroeiingen"
300,2020,126,6.44975091,19.5356381600169,"1984-2025","Vogels van pionierbegroeiingen"
300,2021,125,6.57225335,19.0193520156979,"1984-2025","Vogels van pionierbegroeiingen"
300,2022,104,6.14314649,16.9294351305629,"1984-2025","Vogels van pionierbegroeiingen"
300,2023,124,6.57225335,18.8671971995724,"1984-2025","Vogels van pionierbegroeiingen"
300,2024,124,6.57225335,18.8671971995723,"1984-2025","Vogels van pionierbegroeiingen"
300,2025,126,6.57225335,19.1715068318235,"1984-2025","Vogels van pionierbegroeiingen"
400,1958,113,4.3072,26.2351411589896,"1958-1983","Vogels van open heide"
400,1959,135,5.0372,26.8006035098865,"1958-1983","Vogels van open heide"
400,1960,111,5.022,22.1027479091995,"1958-1983","Vogels van open heide"
400,1961,128,5.002,25.5897640943623,"1958-1983","Vogels van open heide"
400,1962,121,5.002,24.1903238704518,"1958-1983","Vogels van open heide"
400,1963,87,5.2472,16.5802713828327,"1958-1983","Vogels van open heide"
400,1964,87,5.3272,16.3312809731191,"1958-1983","Vogels van open heide"
400,1965,73,5.315,13.7347130761994,"1958-1983","Vogels van open heide"
400,1966,77,5.395,14.2724745134384,"1958-1983","Vogels van open heide"
400,1967,82,5.735,14.2981691368788,"1958-1983","Vogels van open heide"
400,1968,109,5.6,19.4642857142857,"1958-1983","Vogels van open heide"
400,1969,84,5.6,15,"1958-1983","Vogels van open heide"
400,1970,88,5.625,15.6444444444444,"1958-1983","Vogels van open heide"
400,1971,100,5.615,17.8094390026714,"1958-1983","Vogels van open heide"
400,1972,107,5.645,18.9548272807794,"1958-1983","Vogels van open heide"
400,1973,117,5.715,20.4724409448819,"1958-1983","Vogels van open heide"
400,1974,114,5.855,19.4705380017079,"1958-1983","Vogels van open heide"
400,1975,134,5.505,24.3415077202543,"1958-1983","Vogels van open heide"
400,1976,140,6.49,21.5716486902928,"1958-1983","Vogels van open heide"
400,1977,129,6.175,20.8906882591093,"1958-1983","Vogels van open heide"
400,1978,143,6.38,22.4137931034483,"1958-1983","Vogels van open heide"
400,1979,123,6.37,19.309262166405,"1958-1983","Vogels van open heide"
400,1980,110,6.38,17.2413793103448,"1958-1983","Vogels van open heide"
400,1981,119,6.38,18.6520376175549,"1958-1983","Vogels van open heide"
400,1982,117,6.035,19.3869096934548,"1958-1983","Vogels van open heide"
400,1983,99,6.38,15.5172413793103,"1958-1983","Vogels van open heide"
400,1984,64,3.02300608,21.1709795833424,"1984-2025","Vogels van open heide"
400,1985,77,5.13012052,15.0093939703389,"1984-2025","Vogels van open heide"
400,1986,40,4.23796013,9.43850314136863,"1984-2025","Vogels van open heide"
400,1987,48,5.02247314,9.55704463956576,"1984-2025","Vogels van open heide"
400,1988,44,4.70180252,9.35811315188967,"1984-2025","Vogels van open heide"
400,1989,40,4.70180252,8.50737559262697,"1984-2025","Vogels van open heide"
400,1990,34,4.85514176,7.00288512276107,"1984-2025","Vogels van open heide"
400,1991,41,5.55688703,7.37823169314997,"1984-2025","Vogels van open heide"
400,1992,43,6.1308353,7.01372617202749,"1984-2025","Vogels van open heide"
400,1993,37,6.1308353,6.03506670616319,"1984-2025","Vogels van open heide"
400,1994,36,6.1308353,5.8719567951858,"1984-2025","Vogels van open heide"
