EURING,VARIABELE,WAARDE,VARNR
360,BONESTH,4,62
360,BPHOLBROED,*,63
360,BQKOLBROED,*,64
360,BRNESTPER, 90,65
360,BSNESTVLIE,-,66
360,BTGESLRIJP,6,67
360,BULEEF_MAX,-,68
360,BVOVERLEV,-,69
360,BWONVKLEED,0,70
360,BXGEW_MAN,  819,71
360,BYGEW_VR, 444,72
360,BZLENG_MAN,342,73
360,CALENG_VR,333,74
400,AORO_LIJST,-,36
400,APBL_LIJST,-,37
400,AQNBP,-,38
400,ARBMP,-,39
400,ASPTT,-,40
400,ATOE_GROEP,I,41
400,AUPMI73_77,      -,42
400,AVPMA73_77,      -,43
400,AWPMI79_85,     -,44
400,AXPMA79_85,     -,45
400,AYTRST_BR,-,46
400,AZTRST_NBR,-,47
400,BAWINT_GEB,-,48
400,BBBROEDGEB,-,49
400,BCBRV_NED,-,50
400,BDPRESENT,-,51
400,BEBROEDBIO,a5,52
400,BFBRTYBEG,-,53
400,BGBRTYEND,-,54
400,BHBRDUUR,55,55
400,BIEI_MIN, 1,56
400,BJEI_NORM, 1,57
400,BKEI_MAX, 1,58
400,BLLEG_MIN,1,59
400,BMLEG_NORM,1,60
400,BNLEG_MAX,1,61
400,BONESTH,4,62
400,BPHOLBROED,*,63
400,BQKOLBROED,*,64
400,BRNESTPER,105,65
400,BSNESTVLIE,-,66
400,BTGESLRIJP,6,67
400,BULEEF_MAX,-,68
400,BVOVERLEV,-,69
400,BWONVKLEED,0,70
400,BXGEW_MAN,  834,71
400,BYGEW_VR, 834,72
400,BZLENG_MAN,332,73
400,CALENG_VR,318,74
430,AORO_LIJST,-,36
430,APBL_LIJST,-,37
430,AQNBP,-,38
430,ARBMP,-,39
430,ASPTT,-,40
430,ATOE_GROEP,I,41
430,AUPMI73_77,      -,42
430,AVPMA73_77,      -,43
430,AWPMI79_85,     -,44
430,AXPMA79_85,     -,45
430,AYTRST_BR,-,46
430,AZTRST_NBR,Do,47
430,BAWINT_GEB,-,48
430,BBBROEDGEB,5,49
430,BCBRV_NED,-,50
430,BDPRESENT,-,51
430,BEBROEDBIO,a5,52
430,BFBRTYBEG,-,53
430,BGBRTYEND,-,54
430,BHBRDUUR,-,55
430,BONESTH,4,62
430,BPHOLBROED,*,63
430,BQKOLBROED,*,64
430,BRNESTPER, 95,65
430,BSNESTVLIE,-,66
430,BTGESLRIJP,6,67
430,BULEEF_MAX,10,68
430,BVOVERLEV,-,69
430,BWONVKLEED,0,70
430,BXGEW_MAN,  787,71
430,BYGEW_VR, 787,72
430,BZLENG_MAN,295,73
430,CALENG_VR,289,74
460,AORO_LIJST,-,36
460,APBL_LIJST,-,37
460,AQNBP,-,38
460,ARBMP,-,39
460,ASPTT,-,40
460,ATOE_GROEP,I,41
460,AUPMI73_77,      -,42
460,AVPMA73_77,      -,43
460,AWPMI79_85,     -,44
460,AXPMA79_85,     -,45
460,AYTRST_BR,-,46
460,AZTRST_NBR,Do,47
460,BAWINT_GEB,-,48
460,BBBROEDGEB,124,49
460,BCBRV_NED,-,50
460,BDPRESENT,-,51
460,BEBROEDBIO,a5,52
460,BFBRTYBEG,4,53
460,BGBRTYEND,9,54
460,BHBRDUUR,53,55
460,BIEI_MIN, 1,56
460,BJEI_NORM, 1,57
460,BKEI_MAX, 1,58
460,BLLEG_MIN,1,59
460,BMLEG_NORM,1,60
460,BNLEG_MAX,1,61
460,BONESTH,4,62
460,BPHOLBROED,*,63
460,BQKOLBROED,*,64
460,BRNESTPER, 70,65
460,BSNESTVLIE,-,66
460,BTGESLRIJP,6,67
460,BULEEF_MAX,29,68
460,BVOVERLEV,90,69
460,BWONVKLEED,0,70
460,BXGEW_MAN,  456,71
460,BYGEW_VR, 427,72
460,BZLENG_MAN,239,73
460,CALENG_VR,235,74
520,AORO_LIJST,-,36
520,APBL_LIJST,-,37
520,AQNBP,-,38
520,ARBMP,-,39
520,ASPTT,-,40
520,ATOE_GROEP,I,41
520,AUPMI73_77,      -,42
520,AVPMA73_77,      -,43
520,AWPMI79_85,     -,44
520,AXPMA79_85,     -,45
520,AYTRST_BR,-,46
520,AZTRST_NBR,-,47
520,BAWINT_GEB,-,48
520,BBBROEDGEB,123,49
520,BCBRV_NED,-,50
520,BDPRESENT,-,51
520,BEBROEDBIO,a4,52
520,BFBRTYBEG,5,53
520,BGBRTYEND,7,54
520,BHBRDUUR,39,55
520,BIEI_MIN, 1,56
520,BJEI_NORM, 1,57
520,BKEI_MAX, 1,58
520,BLLEG_MIN,1,59
520,BMLEG_NORM,1,60
520,BNLEG_MAX,1,61
520,BONESTH,1,62
520,BPHOLBROED,*,63
520,BQKOLBROED,*,64
520,BRNESTPER, 64,65
520,BSNESTVLIE,-,66
520,BTGESLRIJP,4,67
520,BULEEF_MAX,20,68
520,BVOVERLEV,-,69
520,BWONVKLEED,0,70
520,BXGEW_MAN,   27,71
520,BYGEW_VR,  27,72
520,BZLENG_MAN,120,73
520,CALENG_VR,121,74
550,AORO_LIJST,-,36
550,APBL_LIJST,-,37
550,AQNBP,-,38
550,ARBMP,-,39
550,ASPTT,-,40
550,ATOE_GROEP,I,41
550,AUPMI73_77,      -,42
550,AVPMA73_77,      -,43
550,AWPMI79_85,     -,44
550,AXPMA79_85,     -,45
550,AYTRST_BR,-,46
550,AZTRST_NBR,Do,47
550,BAWINT_GEB,-,48
550,BBBROEDGEB,1,49
550,BCBRV_NED,-,50
550,BDPRESENT,-,51
550,BEBROEDBIO,a4,52
550,BFBRTYBEG,5,53
550,BGBRTYEND,10,54
550,BHBRDUUR,41,55
550,BIEI_MIN, 1,56
550,BJEI_NORM, 1,57
550,BKEI_MAX, 1,58
550,BLLEG_MIN,1,59
550,BMLEG_NORM,1,60
550,BNLEG_MAX,1,61
550,BONESTH,1,62
550,BPHOLBROED,*,63
550,BQKOLBROED,*,64
550,BRNESTPER, 66,65
550,BSNESTVLIE,-,66
550,BTGESLRIJP,4,67
550,BULEEF_MAX,24,68
550,BVOVERLEV,-,69
550,BWONVKLEED,0,70
550,BXGEW_MAN,   44,71
550,BYGEW_VR,  44,72
550,BZLENG_MAN,157,73
550,CALENG_VR,161,74
710,AORO_LIJST,-,36
710,APBL_LIJST,-,37
710,AQNBP,-,38
710,ARBMP,-,39
710,ASPTT,-,40
710,ATOE_GROEP,I,41
710,AUPMI73_77,      -,42
710,AVPMA73_77,      -,43
710,AWPMI79_85,     -,44
710,AXPMA79_85,     -,45
710,AYTRST_BR,-,46
710,AZTRST_NBR,WDo,47
710,BAWINT_GEB,-,48
710,BBBROEDGEB,12,49
710,BCBRV_NED,-,50
710,BDPRESENT,-,51
710,BEBROEDBIO,a5,52
710,BFBRTYBEG,4,53
710,BGBRTYEND,9,54
710,BHBRDUUR,44,55
710,BIEI_MIN, 1,56
710,BJEI_NORM, 1,57
710,BKEI_MAX, 2,58
710,BLLEG_MIN,1,59
710,BMLEG_NORM,1,60
710,BNLEG_MAX,1,61
710,BONESTH,4,62
710,BPHOLBROED,-,63
710,BQKOLBROED,*,64
710,BRNESTPER, 90,65
710,BSNESTVLIE,-,66
710,BTGESLRIJP,5,67
710,BULEEF_MAX,21,68
710,BVOVERLEV,94,69
710,BWONVKLEED,54,70
710,BXGEW_MAN, 3000,71
710,BYGEW_VR,2955,72
710,BZLENG_MAN,513,73
710,CALENG_VR,510,74
720,AORO_LIJST,-,36
720,APBL_LIJST,-,37
720,AQNBP,-,38
720,ARBMP,-,39
720,ASPTT,*,40
720,ATOE_GROEP,III,41
720,AUPMI73_77,   3000,42
720,AVPMA73_77,   3000,43
720,AWPMI79_85,  3040,44
720,AXPMA79_85, 10300,45
720,AYTRST_BR,SDe,46
720,AZTRST_NBR,WDo,47
720,BAWINT_GEB,  2,48
720,BBBROEDGEB,1234,49
720,BCBRV_NED,*,50
720,BDPRESENT,32,51
720,BEBROEDBIO,d1,52
720,BFBRTYBEG,3,53
720,BGBRTYEND,9,54
720,BHBRDUUR,29,55
720,BIEI_MIN, 3,56
720,BJEI_NORM, 4,57
