SUBNHLVOLG,SUBNHLCODE,SUBNHLOMS,GROEPNR,GROEPNAAM,REFERENTIE,ONDERGRENS,REF_KLAS,ONDER_KLAS
54.0,12.3,"Complex van bos, ruigten, gras en water op hoogveen",808.0,Torenvalk-groep,1.0718,0.3537,1.5,0.495
54.0,12.3,"Complex van bos, ruigten, gras en water op hoogveen",811.0,Loofhoutvogels,14.5919,4.8153,15.25,5.0325
54.0,12.3,"Complex van bos, ruigten, gras en water op hoogveen",812.0,Holenbroeders,16.5806,5.4716,19.35,6.3855
54.0,12.3,"Complex van bos, ruigten, gras en water op hoogveen",813.0,Vogels van oud bos,22.4044,7.3935,25.95,8.5635
54.0,12.3,"Complex van bos, ruigten, gras en water op hoogveen",901.0,Zwarte Roodstaart-groep,14.2562,4.7045,13.7,4.521
54.0,12.3,"Complex van bos, ruigten, gras en water op hoogveen",911.0,Rode Lijst soorten,31.6348,10.4395,35.95,11.8635
54.0,12.3,"Complex van bos, ruigten, gras en water op hoogveen",912.0,Blauwe Lijst soorten,13.6622,4.5085,12.2,4.026
54.0,12.3,"Complex van bos, ruigten, gras en water op hoogveen",921.0,Roofvogels,2.2469,0.7415,3.05,1.0065
54.0,12.3,"Complex van bos, ruigten, gras en water op hoogveen",999.0,Overige soorten,4.8166,1.5895,6.0,1.98
57.0,13.1,"Grove dennen-Berkenbos op zure, arme zandgronden",300.0,Pioniervogels,0.6542,0.2159,0.75,0.2475
57.0,13.1,"Grove dennen-Berkenbos op zure, arme zandgronden",304.0,Tapuit-groep,0.6542,0.2159,0.75,0.2475
57.0,13.1,"Grove dennen-Berkenbos op zure, arme zandgronden",600.0,Struweelvogels,27.396,9.0407,30.0,9.9
57.0,13.1,"Grove dennen-Berkenbos op zure, arme zandgronden",604.0,Winterkoning-groep,27.396,9.0407,30.0,9.9
57.0,13.1,"Grove dennen-Berkenbos op zure, arme zandgronden",611.0,Zwartkop-groep,27.396,9.0407,30.0,9.9
57.0,13.1,"Grove dennen-Berkenbos op zure, arme zandgronden",700.0,Bosrandvogels,43.2422,14.2699,57.75,19.0575
