EURING,NEDERLANDS,SOORTGROEP,EURNUM
15671,Zwarte Kraai,4,15671
15673,Bonte Kraai,0,15673
15720,Raaf,2,15720
15820,Spreeuw,4,15820
15910,Huismus,5,15910
15980,Ringmus,5,15980
16360,Vink,5,16360
16380,Keep,2,16380
16400,Europese Kanarie,2,16400
16490,Groenling,4,16490
16530,Putter,3,16530
16540,Sijs,3,16540
16600,Kneu,4,16600
16630,Barmsijs,3,16630
16634,Kleine Barmsijs,0,16634
16650,Witbandkruisbek,0,16650
16660,Kruisbek,3,16660
16680,Grote Kruisbek,0,16680
16790,Roodmus,2,16790
17100,Goudvink,4,17100
17170,Appelvink,3,17170
18570,Geelgors,3,18570
18580,Cirlgors,0,18580
18600,Grijze Gors,0,18600
18660,Ortolaan,2,18660
18770,Rietgors,4,18770
18820,Grauwe Gors,2,18820
20010,Soepgans,4,20010
20030,Stadsduif,4,20030
20040,Zwarte Zwaan,2,20040
20080,Lachduif,0,20080
20090,Pauw,0,20090
