N1,OOSTERENG_,N3,N4,N5,WILDE_EEND,N7
19445504,Reigersbosch,57,1989,13080,Fluiter,1
19445504,Reigersbosch,57,1989,13140,Goudhaantje,12
19445504,Reigersbosch,57,1989,13350,Grauwe Vliegenvang,1
19445504,Reigersbosch,57,1989,13490,Bonte Vliegenvange,4
19445504,Reigersbosch,57,1989,14370,Staartmees,3
19445504,Reigersbosch,57,1989,14400,Glanskop,5
19445504,Reigersbosch,57,1989,14420,Matkop,5
19445504,Reigersbosch,57,1989,14540,Kuifmees,3
19445504,Reigersbosch,57,1989,14610,Zwarte Mees,17
19445504,Reigersbosch,57,1989,14620,Pimpelmees,-1
19445504,Reigersbosch,57,1989,14640,Koolmees,-1
19445504,Reigersbosch,57,1989,14790,Boomklever,4
19445504,Reigersbosch,57,1989,14870,Boomkruiper,15
19445504,Reigersbosch,57,1989,15080,Wielewaal,4
19445504,Reigersbosch,57,1989,15390,Vlaamse Gaai,6
19445504,Reigersbosch,57,1989,15490,Ekster,-1
19445504,Reigersbosch,57,1989,15600,Kauw,5
19445504,Reigersbosch,57,1989,15671,Zwarte Kraai,-1
19445504,Reigersbosch,57,1989,15820,Spreeuw,-1
19445504,Reigersbosch,57,1989,15910,Huismus,-1
19445504,Reigersbosch,57,1989,15980,Ringmus,-1
19445504,Reigersbosch,57,1989,16360,Vink,-1
19445504,Reigersbosch,57,1989,16490,Groenling,1
19445504,Reigersbosch,57,1989,17100,Goudvink,3
19445504,Reigersbosch,57,1989,17170,Appelvink,4
40142100,Hangmat,61,1993,2690,Sperwer,1
40142100,Hangmat,61,1993,2870,Buizerd,2
40142100,Hangmat,61,1993,3040,Torenvalk,1
40142100,Hangmat,61,1993,6700,Houtduif,-1
40142100,Hangmat,61,1993,7240,Koekoek,-1
40142100,Hangmat,61,1993,7670,Ransuil,1
40142100,Hangmat,61,1993,8760,Grote Bonte Specht,-1
40142100,Hangmat,61,1993,9740,Boomleeuwerik,5
40142100,Hangmat,61,1993,9760,Veldleeuwerik,15
40142100,Hangmat,61,1993,10090,Boompieper,-1
40142100,Hangmat,61,1993,10201,Witte Kwikstaart,1
40142100,Hangmat,61,1993,10660,Winterkoning,-1
40142100,Hangmat,61,1993,10990,Roodborst,-1
40142100,Hangmat,61,1993,11390,Roodborsttapuit,11
40142100,Hangmat,61,1993,11870,Merel,-1
40142100,Hangmat,61,1993,12020,Grote Lijster,-1
40142100,Hangmat,61,1993,12750,Grasmus,1
40142100,Hangmat,61,1993,12760,Tuinfluiter,-1
40142100,Hangmat,61,1993,12770,Zwartkop,-1
40142100,Hangmat,61,1993,13110,Tjiftjaf,-1
40142100,Hangmat,61,1993,13120,Fitis,-1
40142100,Hangmat,61,1993,13140,Goudhaantje,-1
40142100,Hangmat,61,1993,14370,Staartmees,-1
40142100,Hangmat,61,1993,14420,Matkop,-1
40142100,Hangmat,61,1993,14540,Kuifmees,-1
40142100,Hangmat,61,1993,14610,Zwarte Mees,-1
40142100,Hangmat,61,1993,14620,Pimpelmees,-1
40142100,Hangmat,61,1993,14640,Koolmees,-1
40142100,Hangmat,61,1993,15390,Vlaamse Gaai,-1
40142100,Hangmat,61,1993,15490,Ekster,-1
40142100,Hangmat,61,1993,15671,Zwarte Kraai,-1
40142100,Hangmat,61,1993,15820,Spreeuw,-1
40142100,Hangmat,61,1993,15910,Huismus,-1
40142100,Hangmat,61,1993,15980,Ringmus,-1
40142100,Hangmat,61,1993,16360,Vink,-1
40142100,Hangmat,61,1993,16600,Kneu,3
40142100,Hangmat,61,1993,17100,Goudvink,-1
40142100,Hangmat,61,1993,18570,Geelgors,12
