VARNR,VARIABELE,WAARDE,OMSCHRIJVI,REKENWAARD
31,Zout-min,4,sterk brak,0.0
31,Zout-min,5,zout,0.0
32,Zout-max,1,zoet,0.0
32,Zout-max,2,zwak brak,0.0
32,Zout-max,2?,zwak brak ?,0.0
32,Zout-max,3,brak,0.0
32,Zout-max,3?,brak ?,0.0
32,Zout-max,4,sterk brak,0.0
32,Zout-max,4?,sterk brak ?,0.0
32,Zout-max,5,zout,0.0
32,Zout-max,5?,zout ?,0.0
33,Stroming-max,0,niet van toepassing,0.0
33,Stroming-max,1,stilstaand,0.0
33,Stroming-max,1?,stilstaand ?,0.0
33,Stroming-max,2,langzaam stromend,0.0
33,Stroming-max,2?,langzaam stromend ?,0.0
33,Stroming-max,3,(matig) stromend,0.0
33,Stroming-max,3?,(matig) stromend ?,0.0
33,Stroming-max,4,snel stromend,0.0
33,Stroming-max,5,zeer snel stromend,0.0
34,Stroming-min,0,niet van toepassing,0.0
34,Stroming-min,1,stilstaand,0.0
34,Stroming-min,2,langzaam stromend,0.0
34,Stroming-min,4,snel stromend,0.0
35,Stroming-opt,0,niet van toepassing,0.0
35,Stroming-opt,1,stilstaand,0.0
35,Stroming-opt,2,langzaam stromend,0.0
35,Stroming-opt,3,(matig) stromend,0.0
35,Stroming-opt,4,snel stromend,0.0
35,Stroming-opt,5,zeer snel stromend,0.0
35,Stroming-opt,x,indifferent,0.0
41,ATOE_GROEP,I,aan zout water gebonden,0.0
41,ATOE_GROEP,II,zowel zoet als zout water gebonden,0.0
41,ATOE_GROEP,III,"reigers, ooievaars, aalscholvers en kraanvoge",0.0
41,ATOE_GROEP,IV,ganzen en zwanen,0.0
41,ATOE_GROEP,IX,vogels van open terrein,0.0
