SDT_CODE0,SUBNHL,OMSCHRIJVI,ECOGROEP,GROEPNAAM,HABITAT,STATUS,ONDERGRENS,REFERENTIE
07.01,7.1,Jonge verlanding,102,Slobeend-groep,"kleinschalig, ondiep (matig) voedselrijk open water",Standaard,15.167,45.5
07.01,7.1,Jonge verlanding,211,Waterrietvogels,natte rietvegetaties,Standaard,31.522,94.57
07.02,7.2,Oude riet ruigten,204,Blauwborst-groep,verlande rietvegetaties met struiken,Standaard,15.871,47.61
07.02,7.2,Oude riet ruigten,211,Waterrietvogels,natte rietvegetaties,Standaard,34.997,104.99
07.02,7.2,Oude riet ruigten,603,Grasmus-groep,"struwelen, opslag en zeer jong bos, bosranden met struiken",Facultatief,0.0,69.41
07.01,7.3,Brakwaterverlanding,101,Dodaars-groep,voedselarm-matig voedselrijk open water,Standaard,0.0,0.0
07.01,7.3,Brakwaterverlanding,102,Slobeend-groep,"kleinschalig, ondiep (matig) voedselrijk open water",Standaard,0.0,0.0
07.01,7.3,Brakwaterverlanding,211,Waterrietvogels,natte rietvegetaties,Standaard,0.0,0.0
08.01,8.1,Veenmosrietlanden en trilvenen,211,Waterrietvogels,natte rietvegetaties,Standaard,0.0,0.0
08.01,8.1,Veenmosrietlanden en trilvenen,402,Wulp-groep,"open heide, al dan niet grenzend aan cultuurland",Facultatief,0.0,0.0
08.02,8.2,Natte schraallanden,501,Zomertaling-groep,"drassig, structuurrijk grasland. Plaatselijk open water",Standaard,0.0,0.0
08.02,8.2,Natte schraallanden,502,Grutto-groep,vochtig tot drassig grasland,Facultatief,0.0,0.0
08.02,8.2,Natte schraallanden,503,Veldleeuwerik-groep,nat tot droog grasland,Facultatief,0.0,0.0
08.02,8.2,Natte schraallanden,603,Grasmus-groep,"struwelen, opslag en zeer jong bos, bosranden met struiken",Standaard,0.0,0.0
09.01,9.1,Glanshaverhooiland,501,Zomertaling-groep,"drassig, structuurrijk grasland. Plaatselijk open water",Facultatief,0.0,0.0
09.01,9.1,Glanshaverhooiland,502,Grutto-groep,vochtig tot drassig grasland,Standaard,0.0,0.0
09.01,9.1,Glanshaverhooiland,503,Veldleeuwerik-groep,nat tot droog grasland,Facultatief,0.0,0.0
09.01,9.1,Glanshaverhooiland,603,Grasmus-groep,"struwelen, opslag en zeer jong bos, bosranden met struiken",Standaard,0.0,0.0
09.02,9.2,Kamgrasweiden en zilverschoongraslanden,500,Weidevogels,grazige vegetaties,Standaard,28.232,84.7
09.02,9.2,Kamgrasweiden en zilverschoongraslanden,603,Grasmus-groep,"struwelen, opslag en zeer jong bos, bosranden met struiken",Standaard,9.601,28.8
09.03,9.3,Kalkgraslanden,503,Veldleeuwerik-groep,nat tot droog grasland,Facultatief,0.0,0.0
09.03,9.3,Kalkgraslanden,711,Bosrandstruweelvogels,bosranden en boomgroepen met struwelen,Standaard,0.0,0.0
09.04,9.4,Zilte graslanden,500,Weidevogels,grazige vegetaties,Standaard,37.644,112.93
09.05,9.5,Droge schraallanden,304,Tapuit-groep,"open zandige plekken en zeer korte, schrale vegetaties (heid",Facultatief,0.0,0.0
