LANDSCHAP,EURING,DREMPEL,CODE
3200,11060,0,K
3200,11370,0,K
3200,11390,0,K
3200,12360,0,K
3200,15150,0,K
3200,15200,0,K
3200,16600,0,K
3200,18570,0,K
3200,18770,0,K
3400,   70,0,K
3400,  120,0,K
3400, 1840,0,K
3400, 2610,0,K
3400, 2630,0,K
3400, 3100,0,K
3400, 3200,0,K
3400, 3320,0,K
3400, 4070,0,K
3400, 4330,0,K
3400, 4850,0,K
3400, 4930,0,K
3400, 5170,0,K
3400, 5190,0,K
3400, 5320,0,K
3400, 5410,0,K
3400, 5460,0,K
3400, 5530,0,K
3400, 5540,0,K
3400, 5820,0,K
3400, 7240,0,K
3400, 7680,0,K
3400, 7780,0,K
3400, 9760,0,K
3400,10090,0,K
3400,10110,0,K
3400,10171,0,K
3400,11060,0,K
3400,11370,0,K
3400,11390,0,K
3400,12360,0,K
3400,15150,0,K
3400,15200,0,K
3400,16600,0,K
3400,18570,0,K
3400,18770,0,K
3600,   70,0,K
3600,  120,0,K
3600, 1840,0,K
3600, 2610,0,K
3600, 2630,0,K
3600, 3100,0,K
3600, 3200,0,K
3600, 3320,0,K
3600, 4070,0,K
3600, 4330,0,K
3600, 4850,0,K
3600, 4930,0,K
3600, 5170,0,K
3600, 5190,0,K
3600, 5320,0,K
3600, 5410,0,K
3600, 5460,0,K
3600, 5530,0,K
3600, 5540,0,K
3600, 5820,0,K
3600, 7240,0,K
3600, 7680,0,K
3600, 7780,0,K
3600, 9760,0,K
3600,10090,0,K
3600,10110,0,K
3600,10171,0,K
3600,11060,0,K
3600,11370,0,K
3600,11390,0,K
3600,12360,0,K
3600,15150,0,K
3600,15200,0,K
3600,16600,0,K
3600,18570,0,K
3600,18770,0,K
