LANDSCHAP,LAND,ECOCODE,DISTRICT,PERIODE,EURING,MEDIAAN,MAX_DICHT,PRESENTIE
1221, NL,,,1990, 4290,5,13.7,33
1221, NL,,,1990, 4500,7,20.5,66
1221, NL,,,1990, 4560,4,3.8,33
1221, NL,,,1990, 4690,1,0.3,33
1221, NL,,,1990, 4700,1,1.0,16
1221, NL,,,1990, 4770,2,1.7,16
1221, NL,,,1990, 4930,8,64.2,66
1221, NL,,,1990, 5120,1,0.1,0
1221, NL,,,1990, 5170,5,11.5,16
1221, NL,,,1990, 5320,7,17.2,50
1221, NL,,,1990, 5460,7,18.7,50
1221, NL,,,1990, 5820,6,25.5,16
1221, NL,,,1990, 6700,1,0.2,83
1221, NL,,,1990, 7240,1,0.5,83
1221, NL,,,1990, 7670,1,0.1,83
1221, NL,,,1990, 9760,7,23.5,83
1221, NL,,,1990, 9920,1,0.3,16
1221, NL,,,1990,10110,6,17.2,83
1221, NL,,,1990,10171,5,12.5,83
1221, NL,,,1990,10201,3,2.9,83
1221, NL,,,1990,10660,1,0.2,83
1221, NL,,,1990,11060,4,3.8,83
1221, NL,,,1990,12360,3,1.9,83
1221, NL,,,1990,12430,5,13.3,100
1221, NL,,,1990,12500,4,3.8,100
1221, NL,,,1990,12510,7,43.8,100
1221, NL,,,1990,12590,1,0.1,33
1221, NL,,,1990,12760,1,0.3,83
1221, NL,,,1990,13110,1,0.4,66
1221, NL,,,1990,13120,3,2.8,83
1221, NL,,,1990,13640,1,0.7,50
1221, NL,,,1990,15671,1,0.7,83
1221, NL,,,1990,16600,1,0.6,83
1221, NL,,,1990,18770,6,18.5,83
1222, NL,,,1990,   90,2,5.0,33
1222, NL,,,1990, 1220,1,0.7,33
1222, NL,,,1990, 1610,5,91.7,50
1222, NL,,,1990, 1700,1,0.7,33
1222, NL,,,1990, 1730,4,13.3,50
1222, NL,,,1990, 1820,4,6.2,100
1222, NL,,,1990, 1840,1,0.7,33
1222, NL,,,1990, 1860,7,68.8,100
1222, NL,,,1990, 1910,2,1.2,83
1222, NL,,,1990, 1940,4,7.8,100
1222, NL,,,1990, 1980,1,2.1,16
1222, NL,,,1990, 2030,5,5.7,66
1222, NL,,,1990, 2600,3,4.2,66
1222, NL,,,1990, 3040,1,1.2,33
1222, NL,,,1990, 3670,1,0.4,16
1222, NL,,,1990, 3940,6,18.8,50
1222, NL,,,1990, 4290,3,8.3,33
1222, NL,,,1990, 4500,3,8.8,66
1222, NL,,,1990, 4690,1,1.2,33
1222, NL,,,1990, 4930,1,2.1,66
1222, NL,,,1990, 6680,3,5.4,50
1222, NL,,,1990, 6700,6,17.7,83
1222, NL,,,1990, 6870,2,4.6,16
1222, NL,,,1990, 7240,4,4.2,83
1222, NL,,,1990, 7670,2,1.0,83
1222, NL,,,1990, 7680,1,0.7,33
1222, NL,,,1990, 9760,2,2.9,83
1222, NL,,,1990, 9810,5,30.4,16
1222, NL,,,1990,10110,2,2.1,83
1222, NL,,,1990,10171,2,1.2,83
1222, NL,,,1990,10201,3,3.3,83
1222, NL,,,1990,10660,7,31.2,83
1222, NL,,,1990,10840,6,16.3,50
1222, NL,,,1990,11040,1,1.7,16
1222, NL,,,1990,11060,6,64.4,83
1222, NL,,,1990,11370,1,0.5,16
1222, NL,,,1990,11390,1,0.7,33
1222, NL,,,1990,11870,5,9.2,50
1222, NL,,,1990,12000,1,1.7,16
1222, NL,,,1990,12020,1,0.4,16
1222, NL,,,1990,12360,6,41.7,83
1222, NL,,,1990,12380,4,2.1,50
1222, NL,,,1990,12430,7,45.8,100
1222, NL,,,1990,12500,8,78.6,100
1222, NL,,,1990,12510,7,87.8,100
1222, NL,,,1990,12590,2,3.3,33
1222, NL,,,1990,12740,3,5.0,50
1222, NL,,,1990,12750,5,29.7,66
1222, NL,,,1990,12760,6,18.4,83
1222, NL,,,1990,12770,4,5.0,50
1222, NL,,,1990,13110,4,2.1,66
1222, NL,,,1990,13120,8,65.2,83
1222, NL,,,1990,13640,3,9.9,50
1222, NL,,,1990,14640,1,2.9,16
1222, NL,,,1990,14900,1,0.7,33
1222, NL,,,1990,15080,1,0.8,16
1222, NL,,,1990,15390,1,0.4,16
1222, NL,,,1990,15490,4,5.0,66
1222, NL,,,1990,15671,4,3.5,83
1222, NL,,,1990,15980,1,1.2,16
1222, NL,,,1990,16490,1,0.7,33
1222, NL,,,1990,16600,7,24.8,83
1222, NL,,,1990,18770,8,102.7,83
2000, NL,,,1990, 1610,1,0.1,0
2000, NL,,,1990, 1700,1,0.0,0
2000, NL,,,1990, 1730,5,6.4,0
2000, NL,,,1990, 1820,1,0.4,0
2000, NL,,,1990, 1840,2,1.5,0
2000, NL,,,1990, 1860,7,37.1,0
2000, NL,,,1990, 1890,1,0.2,0
2000, NL,,,1990, 1940,3,2.9,0
2000, NL,,,1990, 2600,1,0.4,0
2000, NL,,,1990, 2610,1,0.4,0
2000, NL,,,1990, 3040,1,0.8,0
2000, NL,,,1990, 3670,2,1.2,0
2000, NL,,,1990, 3940,5,7.3,0
2000, NL,,,1990, 4070,2,0.9,0
2000, NL,,,1990, 4240,1,0.8,0
2000, NL,,,1990, 4290,2,1.7,0
2000, NL,,,1990, 4500,7,26.5,0
2000, NL,,,1990, 4700,1,0.2,0
2000, NL,,,1990, 4930,6,17.1,0
2000, NL,,,1990, 5190,2,1.5,0
2000, NL,,,1990, 5290,1,0.0,0
2000, NL,,,1990, 5320,3,2.3,0
2000, NL,,,1990, 5410,5,6.2,0
2000, NL,,,1990, 5460,3,3.8,0
