LANDSCHAP,EURING,CODE
1140,14610,1
1140,14620,1
1140,14640,1
1140,14790,2
1140,14860,2
1140,14870,2
1140,14900,2
1140,15080,2
1140,15150,3
1140,15200,3
1140,15230,5
1140,15390,1
1140,15490,1
1140,15600,2
1140,15630,2
1140,15671,1
1140,15673,1
1140,15720,2
1140,15820,1
1140,15910,1
1140,15980,1
1140,16360,1
1140,16380,1
1140,16400,2
1140,16490,2
1140,16530,2
1140,16540,1
1140,16600,2
1140,16630,2
1140,16660,2
1140,16680,2
1140,16790,2
1140,17100,2
1140,17170,2
1140,18570,2
1140,18660,4
1140,18770,1
1140,18820,4
1200,   70,2
1200,   90,1
1200,  100,2
1200,  120,3
1200,  720,2
1200,  950,3
1200,  980,4
1200, 1040,4
1200, 1190,2
1200, 1210,4
1200, 1220,2
1200, 1240,3
1200, 1310,5
1200, 1340,3
1200, 1440,3
1200, 1520,1
1200, 1590,2
1200, 1610,2
1200, 1620,1
1200, 1660,1
1200, 1670,2
1200, 1700,1
1200, 1710,2
1200, 1730,1
1200, 1780,2
1200, 1790,3
1200, 1820,2
1200, 1840,2
1200, 1860,1
1200, 1890,3
1200, 1910,3
1200, 1940,2
1200, 1960,4
1200, 1980,2
1200, 2030,1
1200, 2060,2
1200, 2180,2
1200, 2210,2
1200, 2250,1
1200, 2310,3
1200, 2380,2
1200, 2390,3
1200, 2430,5
1200, 2600,3
1200, 2610,3
1200, 2630,4
1200, 2670,2
1200, 2690,2
1200, 2870,2
1200, 3010,5
1200, 3040,2
1200, 3100,2
1200, 3200,3
1200, 3320,4
1200, 3580,2
1200, 3670,2
1200, 3670,3
1200, 3700,2
1200, 3940,1
1200, 4070,2
1200, 4080,2
1200, 4100,3
1200, 4110,3
1200, 4210,3
1200, 4240,1
1200, 4290,1
1200, 4330,5
1200, 4500,1
1200, 4560,2
1200, 4590,5
1200, 4690,2
1200, 4700,2
1200, 4770,3
1200, 4820,2
1200, 4850,5
1200, 4930,2
1200, 5120,5
1200, 5170,4
1200, 5190,3
1200, 5200,5
1200, 5290,2
1200, 5320,2
1200, 5410,2
1200, 5460,2
1200, 5530,5
1200, 5540,5
1200, 5560,2
1200, 5750,2
1200, 5780,3
1200, 5820,1
1200, 5900,2
1200, 5910,2
1200, 5920,2
1200, 5927,2
1200, 6000,2
1200, 6050,5
1200, 6110,3
1200, 6150,2
1200, 6160,2
1200, 6240,3
1200, 6260,5
1200, 6270,3
1200, 6680,2
1200, 6700,1
1200, 6840,1
1200, 6870,2
1200, 7120,2
1200, 7240,1
1200, 7350,3
1200, 7440,3
1200, 7570,2
1200, 7610,2
1200, 7670,2
1200, 7680,3
1200, 7700,2
1200, 7780,3
1200, 7950,2
1200, 8310,3
1200, 8400,4
1200, 8410,5
1200, 8460,5
1200, 8480,3
1200, 8560,2
1200, 8630,2
1200, 8760,2
1200, 8830,5
1200, 8870,3
1200, 9720,3
1200, 9740,2
1200, 9760,1
1200, 9810,2
1200, 9920,1
1200,10010,2
1200,10050,3
1200,10090,1
1200,10110,1
1200,10171,2
1200,10190,3
1200,10201,1
1200,10500,5
1200,10660,1
1200,10840,1
1200,10990,1
1200,11030,2
1200,11040,2
1200,11060,2
1200,11210,1
1200,11220,2
1200,11370,3
1200,11390,2
1200,11460,2
1200,11860,2
1200,11870,1
1200,11980,2
1200,12000,2
1200,12020,2
1200,12200,2
1200,12260,2
1200,12360,2
1200,12370,2
1200,12380,2
1200,12420,5
1200,12430,1
1200,12500,1
1200,12510,1
1200,12530,3
1200,12590,2
1200,12600,2
1200,12740,2
1200,12750,2
1200,12760,1
1200,12770,1
1200,13070,2
1200,13080,2
1200,13110,1
1200,13120,1
1200,13140,1
1200,13150,2
1200,13350,2
1200,13430,3
1200,13490,2
1200,13640,3
1200,14370,1
1200,14400,2
1200,14420,1
1200,14540,1
1200,14610,1
1200,14620,1
1200,14640,1
1200,14790,2
1200,14860,2
1200,14870,2
1200,14900,2
1200,15080,2
1200,15150,3
1200,15200,3
1200,15230,5
1200,15390,1
1200,15490,1
1200,15600,2
1200,15630,2
1200,15671,1
1200,15673,1
1200,15720,2
1200,15820,1
1200,15910,1
1200,15980,1
1200,16360,1
1200,16380,1
1200,16400,2
1200,16490,2
1200,16530,2
1200,16540,1
1200,16600,2
1200,16630,2
1200,16660,2
1200,16680,2
1200,16790,2
1200,17100,2
1200,17170,2
1200,18570,2
1200,18660,4
1200,18770,1
1200,18820,4
1210,   70,2
1210,   90,1
1210,  100,2
1210,  120,3
1210,  720,2
1210,  950,3
1210,  980,4
1210, 1040,4
1210, 1190,2
1210, 1210,4
1210, 1220,2
1210, 1240,3
1210, 1310,5
1210, 1340,3
1210, 1440,3
1210, 1520,1
1210, 1590,2
1210, 1610,2
1210, 1620,1
1210, 1660,1
1210, 1670,2
1210, 1700,1
1210, 1710,2
1210, 1730,1
1210, 1780,2
1210, 1790,3
1210, 1820,2
1210, 1840,2
1210, 1860,1
1210, 1890,3
1210, 1910,3
1210, 1940,2
1210, 1960,4
1210, 1980,2
1210, 2030,1
1210, 2060,2
1210, 2180,2
1210, 2210,2
1210, 2250,1
1210, 2310,3
1210, 2380,2
1210, 2390,3
1210, 2430,5
1210, 2600,3
1210, 2610,3
1210, 2630,4
1210, 2670,2
1210, 2690,2
1210, 2870,2
1210, 3010,5
1210, 3040,2
1210, 3100,2
1210, 3200,3
1210, 3320,4
1210, 3580,2
1210, 3670,2
1210, 3670,3
1210, 3700,2
1210, 3940,1
1210, 4070,2
1210, 4080,2
1210, 4100,3
1210, 4110,3
1210, 4210,3
1210, 4240,1
1210, 4290,1
1210, 4330,5
1210, 4500,1
1210, 4560,2
1210, 4590,5
1210, 4690,2
1210, 4700,2
1210, 4770,3
1210, 4820,2
1210, 4850,5
1210, 4930,2
1210, 5120,5
1210, 5170,4
1210, 5190,3
1210, 5200,5
1210, 5290,2
1210, 5320,2
1210, 5410,2
1210, 5460,2
1210, 5530,5
1210, 5540,5
1210, 5560,2
1210, 5750,2
1210, 5780,3
1210, 5820,1
1210, 5900,2
1210, 5910,2
1210, 5920,2
1210, 5927,2
1210, 6000,2
1210, 6050,5
1210, 6110,3
1210, 6150,2
1210, 6160,2
1210, 6240,3
1210, 6260,5
1210, 6270,3
1210, 6680,2
1210, 6700,1
1210, 6840,1
1210, 6870,2
1210, 7120,2
1210, 7240,1
1210, 7350,3
1210, 7440,3
1210, 7570,2
1210, 7610,2
1210, 7670,2
1210, 7680,3
1210, 7700,2
1210, 7780,3
1210, 7950,2
1210, 8310,3
1210, 8400,4
1210, 8410,5
1210, 8460,5
1210, 8480,3
1210, 8560,2
1210, 8630,2
1210, 8760,2
1210, 8830,5
1210, 8870,3
1210, 9720,3
1210, 9740,2
1210, 9760,1
1210, 9810,2
1210, 9920,1
1210,10010,2
1210,10050,3
1210,10090,1
1210,10090,2
1210,10110,1
1210,10171,2
1210,10190,3
1210,10201,1
1210,10500,5
1210,10660,1
1210,10840,1
1210,10990,1
1210,11030,2
1210,11040,2
1210,11060,2
1210,11210,1
1210,11220,2
1210,11370,3
1210,11390,2
1210,11460,2
1210,11860,2
1210,11870,1
1210,11980,2
1210,12000,2
1210,12020,2
1210,12200,2
1210,12260,2
1210,12360,2
1210,12370,2
1210,12380,2
1210,12420,5
1210,12430,1
1210,12500,1
1210,12510,1
1210,12530,3
1210,12590,2
1210,12600,2
1210,12740,2
1210,12750,2
1210,12760,1
1210,12770,1
1210,13070,2
1210,13080,2
1210,13110,1
1210,13120,1
1210,13140,1
1210,13150,2
1210,13350,2
1210,13430,3
1210,13490,2
1210,13640,3
1210,14370,1
1210,14400,2
1210,14420,1
1210,14540,1
1210,14610,1
1210,14620,1
1210,14640,1
1210,14790,2
1210,14860,2
1210,14870,2
1210,14900,2
1210,15080,2
1210,15150,3
1210,15200,3
1210,15230,5
1210,15390,1
1210,15490,1
1210,15600,2
1210,15630,2
1210,15671,1
1210,15673,1
1210,15720,2
1210,15820,1
1210,15910,1
1210,15980,1
1210,16360,1
1210,16380,1
1210,16400,2
1210,16490,2
1210,16530,2
1210,16540,1
1210,16600,2
1210,16630,2
1210,16660,2
1210,16680,2
1210,16790,2
1210,17100,2
1210,17170,2
1210,18570,2
1210,18660,4
1210,18770,1
1210,18820,4
1211,   70,2
1211,   90,1
1211,  100,2
1211,  120,3
1211,  720,2
1211,  950,3
1211,  980,4
1211, 1040,4
1211, 1190,2
1211, 1210,4
1211, 1220,2
1211, 1240,3
1211, 1310,5
1211, 1340,3
1211, 1440,3
1211, 1520,1
1211, 1590,2
1211, 1610,2
1211, 1620,1
1211, 1660,1
1211, 1670,2
1211, 1700,1
1211, 1710,2
1211, 1730,1
1211, 1780,2
1211, 1790,3
1211, 1820,2
1211, 1840,2
1211, 1860,1
1211, 1890,3
1211, 1910,3
1211, 1940,2
1211, 1960,4
1211, 1980,2
1211, 2030,1
1211, 2060,2
1211, 2180,2
1211, 2210,2
1211, 2250,1
1211, 2310,3
1211, 2380,2
1211, 2390,3
1211, 2430,5
1211, 2600,3
1211, 2610,3
1211, 2630,4
1211, 2670,2
1211, 2690,2
1211, 2870,2
1211, 3010,5
1211, 3040,2
1211, 3100,2
1211, 3200,3
1211, 3320,4
1211, 3580,2
1211, 3670,2
1211, 3670,3
1211, 3700,2
1211, 3940,1
1211, 4070,2
1211, 4080,2
1211, 4100,3
1211, 4110,3
1211, 4210,3
1211, 4240,1
1211, 4290,1
1211, 4330,5
1211, 4500,1
1211, 4560,2
1211, 4590,5
1211, 4690,2
1211, 4700,2
1211, 4770,3
1211, 4820,2
1211, 4850,5
1211, 4930,2
1211, 5120,5
1211, 5170,4
1211, 5190,3
1211, 5200,5
1211, 5290,2
1211, 5320,2
1211, 5410,2
1211, 5460,2
1211, 5530,5
1211, 5540,5
1211, 5560,2
1211, 5750,2
1211, 5780,3
1211, 5820,1
1211, 5900,2
1211, 5910,2
1211, 5920,2
1211, 5927,2
1211, 6000,2
1211, 6050,5
1211, 6110,3
1211, 6150,2
1211, 6160,2
1211, 6240,3
1211, 6260,5
1211, 6270,3
1211, 6680,2
1211, 6700,1
1211, 6840,1
1211, 6870,2
1211, 7120,2
1211, 7240,1
1211, 7350,3
1211, 7440,3
1211, 7570,2
1211, 7610,2
1211, 7670,2
1211, 7680,3
1211, 7700,2
1211, 7780,3
1211, 7950,2
1211, 8310,3
1211, 8400,4
1211, 8410,5
1211, 8460,5
1211, 8480,3
1211, 8560,2
1211, 8630,2
1211, 8760,2
1211, 8830,5
1211, 8870,3
1211, 9720,3
1211, 9740,2
1211, 9760,1
1211, 9810,2
1211, 9920,1
1211,10010,2
1211,10050,3
1211,10090,1
1211,10090,2
1211,10110,1
1211,10171,2
1211,10190,3
1211,10201,1
1211,10500,5
1211,10660,1
1211,10840,1
1211,10990,1
1211,11030,2
1211,11040,2
1211,11060,2
1211,11210,1
1211,11220,2
1211,11370,3
1211,11390,2
1211,11460,2
1211,11860,2
1211,11870,1
1211,11980,2
1211,12000,2
1211,12020,2
1211,12200,2
1211,12260,2
1211,12360,2
1211,12370,2
1211,12380,2
1211,12420,5
1211,12430,1
1211,12500,1
1211,12510,1
1211,12530,3
1211,12590,2
1211,12600,2
1211,12740,2
1211,12750,2
1211,12760,1
1211,12770,1
1211,13070,2
1211,13080,2
1211,13110,1
1211,13120,1
1211,13140,1
1211,13150,2
1211,13350,2
1211,13430,3
1211,13490,2
1211,13640,3
1211,14370,1
1211,14400,2
1211,14420,1
1211,14540,1
1211,14610,1
1211,14620,1
1211,14640,1
1211,14790,2
1211,14860,2
1211,14870,2
1211,14900,2
1211,15080,2
1211,15150,3
1211,15200,3
1211,15230,5
1211,15390,1
1211,15490,1
1211,15600,2
1211,15630,2
1211,15671,1
1211,15673,1
1211,15720,2
1211,15820,1
1211,15910,1
1211,15980,1
1211,16360,1
1211,16380,1
1211,16400,2
1211,16490,2
1211,16530,2
1211,16540,1
1211,16600,2
1211,16630,2
1211,16660,2
1211,16680,2
1211,16790,2
1211,17100,2
1211,17170,2
1211,18570,2
1211,18660,4
1211,18770,1
1211,18820,4
1212,   70,2
1212,   90,1
1212,  100,2
1212,  120,3
1212,  720,2
1212,  950,3
1212,  980,4
1212, 1040,4
1212, 1190,2
1212, 1210,4
1212, 1220,2
1212, 1240,3
1212, 1310,5
1212, 1340,3
1212, 1440,3
1212, 1520,1
1212, 1590,2
1212, 1610,2
1212, 1620,1
1212, 1660,1
1212, 1670,2
1212, 1700,1
1212, 1710,2
1212, 1730,1
1212, 1780,2
1212, 1790,3
1212, 1820,2
1212, 1840,2
1212, 1860,1
1212, 1890,3
1212, 1910,3
1212, 1940,2
1212, 1960,4
1212, 1980,2
1212, 2030,1
1212, 2060,2
1212, 2180,2
1212, 2210,2
1212, 2250,1
1212, 2310,3
1212, 2380,2
1212, 2390,3
1212, 2430,5
1212, 2600,3
1212, 2610,3
1212, 2630,4
1212, 2670,2
1212, 2690,2
1212, 2870,2
1212, 3010,5
1212, 3040,2
1212, 3100,2
1212, 3200,3
1212, 3320,4
1212, 3580,2
1212, 3670,2
1212, 3700,2
1212, 3940,1
1212, 4070,2
